id,question,A,B,C,D,Answer,Explanation,Hint
34,"A worker makes bi-weekly (i.e., once every two weeks) deposits of {eq}\$50

{/eq} to a back account that earns {eq}3\%

{/eq} interest compounded continuously. Assume {eq}52

{/eq} weeks in a year.","After {eq}5

{/eq} years, what amount of money can be withdrawn from the account?","What is the effective rate of interest for {eq}5

{/eq} year?","What is the nominal rate of interest for {eq}5

{/eq} year?",,A,"a.	Amount after 5 years with continuous compounding:
{eq}\begin{align*}

{\rm\text{Amount}} &= {\rm\text{C}} \times \frac{{{{\left( {1 + \frac{{\rm\text{i}}}{{{\rm\text{365}}}}} \right)}^{{\rm\text{n}} \times {\rm\text{t}}}} - 1}}{{\rm\text{i}}}\\

&= \$ 50 \times \frac{{{{\left( {1 + \frac{{0.03}}{{52}}} \right)}^{260}} - 1}}{{\frac{{0.03}}{{52}}}}\\

& = \$ 14,021.28

\end{align*}

{/eq}
b.The effective rate of interest shall be calculated as follows:
{eq}\begin{align*}

{\rm\text{Effective return}} &= {\left( {1 + \frac{{\rm\text{i}}}{{\rm\text{n}}}} \right)^{{\rm\text{n}} \times {\rm\text{t}}}} - 1\\

& = {\left( {1 + \frac{{3\% }}{{52}}} \right)^{5 \times 52}} - 1\\

&= 16.18\%

\end{align*}

{/eq}
c.The nominal return for 5 years shall be 15% i.e. 3% for a total of  5 years.
Note:
While computing the accumulated amount, the number of weeks in a year is 52, and the number of years is 5, thus the total would be 260.","Compounding: When interest is earned on the reinvested amounts, it is called compounding. The rate of return is higher in the case of compound interest than simple interest. Therefore, it is good from an investor's point of view. However, it is costlier to take a loan where interest is charged on a compounded basis."
35,"Harlan Fuller needs $2,000 in 7 years. What amount must he invest in a 6% savings bond?","$8,200.40","$9,533.08","$1,425.98","$1,330.12",D,"Option D, i.e., $1,330.12 is the correct answer.
Computation of present value:
{eq}\begin{align*}

{\rm\text{Present value }} &= {\rm\text{ }}\frac{{{\rm\text{Future value}}}}{{{{\left( {1 + {\rm\text{ rate}}} \right)}^{{\rm\text{time}}}}}}\\

&= \frac{{2,000}}{{{{\left( {1.06} \right)}^7}}}\\

&= \frac{{2,000}}{{1.5036}}\\

&= \$ \;1,330.12

\end{align*}

{/eq}
Therefore, Harlan fuller must invest $1,330.12 in a 6% savings bond, i.e., option D.",Present Value: Present value calculations ascertain that the repercussions of inflation are computed from the inflation rate or expected rate of return. The formula discounts the future value of an asset to its present value.
36,Which of the following concepts represents the time value of money?,The concept that money becomes obsolete over time.,The concept that money earns income over time.,The concept that money loses its purchasing power over time.,The concept that money can be converted into other currencies over time.,C,"Answer: The correct option is c, i.e., the concept that money losses its purchasing value over time.
Explanation: The time value of money is also related to the concepts of inflation and purchasing power. These factors should be considered along with the return you will get from investing your money.
It is because inflation consistently undermines the value and, therefore, the purchasing power of money. It is best illustrated by the prices of commodities such as gasoline and food.
Explanation for incorrect options:
Option a: The concept that money becomes obsolete over time is incorrect as the idea states that the value of a dollar's worth today is more than the value it will hold in the future years. It does not contend that money becomes obsolete over time.
Option b: The concept that money earns income over time is incorrect as the concept through which money earns income over time is known as compounding and not the time value of money.
Option d: The concept that money can be converted into other currencies over time is incorrect as the conversion of money into other currencies is known as currency convertibility and not the time value of money.","Time value of money: A central valuation principle states that money today is worth more than the same amount received in the future and is used to make strategic, long-term financial decisions, known as the time value of money."
37,"Since the 1950s, non-residential investment has:","changed, as we invest more in software and computers than buildings",not changed,declined,decreased substantially,A,"Option A is the correct answer. Non-residential investments have changed since the 1950s as more investments have been placed on software and computers than buildings. This is because technological advancement is at a higher speed. The ICT industry is fast growing and has created millions of jobs directly. The competitiveness of economies has highly depended on the leverage of the new technological activities. Individuals and organizations have managed to conduct product sales and online service platforms, making the world a global village.
Options B, C, and D are incorrect. Non-residential investment has changed to terrific advancements in technology. Non-residential investment has not declined but has increased as more people move to the technology world to explore and conduct businesses. Non-residential investment activities have not diminished; the digital space's acceleration has increased substantially.",Investment: Investment refers to the creation of an asset in an attempt to make more money. A well-planned investment strategy leads to the attainment of important long-term goals. Investment helps an individual have accumulated wealth over different periods.
38,Assume your goal in life is to retire with two million dollars. How much would you need to save at the end of each year if interest rates average 6% and you have a 25-year work life?,"$43,118","$55,596","$36,453","$75,503",C,"The correct option is
option c. $36,453
.
Calculation:
{eq}\begin{aligned}   \text{Future}\ \text{value}&=\text{Yearly}\ \text{savings}\times \left[ \frac{{{\left( 1+\text{Interest}\ \text{rate} \right)}^{\text{Period}}}-1}{\text{Interest}\ \text{rate}} \right] \\   \$2,000,000&=\text{Yearly}\ \text{savings}\times \left[ \frac{{{\left( 1+6\% \right)}^{25}}-1}{6\%} \right] \\   \$2,000,000&=\text{Yearly}\ \text{savings}\times 54.8645 \\   \text{Yearly}\ \text{savings}&=\frac{\$2,000,000}{54.8645} \\   \text{Yearly}\ \text{savings}&=\$36,453.44\ \text{or}\ \$36,453  \end{aligned}

{/eq}
Thus, the yearly savings will be $36,453.",Savings: Savings is the proportion of income that is not spent but retained for future requirements. Savings is important to face uncertain events in the future. Some people put their savings in bank accounts.
39,"Your beginning salary is $70,000. You deposit 10% each year in a savings account that earns 6% interest. Your salary increases by 5% per year, and inflation is 3% per year.",What is the value of your savings account after 40 years?,What is the value in Year-1?,,,B,"(aThe Value after 40 years is $1,813,395.63
(b)The Present value is $83,472.30
(a)Computation of the value after 40 years.
The first-year deposit (A) is $7,000.
Computation of first-year deposit below:
$$\begin{align*}

{\rm\text{Deposit in first year}} &= {\rm\text{Beginning salary}} \times {\rm\text{Percentage of deposit}}\\

&= {\rm\text{\$ 70,000}} \times 10\% \\

&= \$ 7,000

\end{align*}

$$
Time(n)is 40 years.
The rate of interest (i) is 0.08.
Computation of real interest rate:
$$\begin{align*}

{\rm\text{FV}} &= \frac{{\left[ {{\rm\text{A}} \times \left\{ {} \right.{{\left( {{\rm\text{1}} + {\rm\text{i}}} \right)}^{\rm\text{n}}} - \left. 1 \right\}} \right]}}{{\rm\text{i}}}\\

&= \frac{{\left[ {\$ 7,000 \times \left\{ {} \right.{{\left( {{\rm\text{1}} + {\rm\text{0}}{\rm\text{.08}}} \right)}^{40}} - \left. 1 \right\}} \right]}}{{0.08}}\\

&= \$ 1,813,395.63

\end{align*}\

$$
Therefore, the future value is calculated as $1,813,395.63.
(b) Computation of the value in year 1.
$$\begin{align*}

\\

{\rm\text{PV}} &= \frac{{{\rm\text{FV}}}}{{{{\left( {1 + {\rm\text{i}}} \right)}^{\rm\text{n}}}}}\\

&= \frac{{\$ 1,813,395.63}}{{\left( {1 + 0.08} \right)}}\\

&= \frac{{1,813,395.63}}{{{{\left( {1.08} \right)}^{40}}}}\\

&= 83,472.30

\end{align*}

$$
Therefore, the value after one year is $83472.30.",Future Value: Future value is the value of an investment or asset at a specific date in the future. Future value is the amount a given investment will be worth after a certain time at a specific rate of return.
40,"Cannonier, Inc., has identified an investment project with the following cash flows:","If the discount rate is 9 percent, what is the future value of these cash flows in Year 4?",What is the future value at a discount rate of 12 percent?,What is the future value at a discount rate of 23 percent?,,A,"FV fomula:
{eq}FV= CF_1\times (1 + I)^3 + CF_2\times (1 + I)^2 + CF_3\times (1 + I) + CF_4 {/eq}
a.
{eq}FV= $920\times (1 + 9\%)^3 + $1,150\times (1 + 9\%)^2 + $1,370\times (1 + 5\%) + $2,110 {/eq}
{eq}FV = $6,161.04 {/eq}
b.
{eq}FV= $920\times (1 + 12\%)^3 + $1,150\times (1 + 12\%)^2 + $1,370\times (1 + 12\%) + $2,110 {/eq}
{eq}FV = $6,379.49 {/eq}
c.
{eq}FV= $920\times (1 + 23\%)^3 + $1,150\times (1 + 23\%)^2 + $1,370\times (1 + 23\%) + $2,110 {/eq}
{eq}FV = $7,246.93 {/eq}","Future Value: Together with present value, future value is an important measure in the concept of time value of money. Future value of an investment represents how much today investment will be worth in future dollar after a specific period. Hence, the estimate of future value helps people to prepare their financial plan."
41,"When we say that the present value of $100 received in one year is $97.56, we are also saying that:",you prefer receiving $100 in the future than $97.56 today.,you prefer receiving $100 today than $100 in one year.,you are indifferent between receiving $100 in the future and $97.56 today.,you are indifferent between receiving $97.56 in the future and $100 today.,B,"The correct answer is
b) you prefer receiving $100 today than $100 in one year.
If the present value of $100 received in one year is $97.56, it becomes a loss situation for the person who has invested $100 today. It would be preferable for the person to receive $100 today than to wait for the same amount for a year because the value of money changes with time. A $100 worth project today might be more or less in value in the future. The future becomes uncertain at this point, and thus a person would prefer the whole amount today as he knows its value and is certain instead of waiting for the same amount till one year.",Future Value: Future value implies the value of a project that would be estimated according to the different future components. The future value is more important than the present value if the transactions are made for the future.
42,"You expect to receive $10,000 at graduation in two years. You plan on investing it at 8 percent until you have $105,000. How long will you wait from now?",30.55 years,35.81 years,36.46 years,28.55 years,A,"The answer is
a) 30.55 years.
Given information:
Initial deposit in 2 years = $10,000
Annual interest rate (I) = 8%
Financial goal = $105,000
Holding period from year 2 = N
Estimate the holding period to obtain the financial goal of $105,000:
{eq}\text{Financial goal} = \displaystyle \text{Initial deposit} \times (1 + \text{I})^N \\ \$105,000 = \displaystyle \$10,000 \times (1 + 8\%)^N \\ 1.08^N = \displaystyle \frac{\$105,000}{\$10,000} \\ 1.08^N = 10.5 \\ N = \displaystyle \frac{ln(10.5)}{ln(1.08)} \\ N = 30.55 {/eq}","Future Value: Future value is an important metric in a financial analysis, which represents how an asset will be priced at a future point in time. The estimate of an investment's future value can ensure whether an investor can effectively make a profit on the investment."
43,"You are considering buying a store. In order to better access your return on the investment, your expectations of the return should be based on:",Days where both sales and costs are low.,"Days where sales are high, costs are low.",Days where sales are low and costs are high.,A weighted average of all the above scenarios.,D,"The correct answer is: d. A weighted average of all the above scenarios.
It is important to consider a variety of factors when evaluating the potential return on an investment, such as the store you are considering buying. Factors to consider include the expected sales and costs on both high and low sales days, as well as the overall average of these scenarios. It is also important to consider other potential variables that could impact the store's performance, such as the local market conditions and competition. By considering a weighted average of all these factors, you can make a more informed decision about the potential return on your investment.","Investments: Investments can be made by individuals, firms, or governments. They can also be made in a variety of financial instruments, such as stocks, bonds, and mutual funds. The goal of most investments is to generate a positive return, which can be in the form of income (e.g. dividends or interest) or capital appreciation (i.e. an increase in the value of the investment)."
44,"The present value of a $110 payment one year in the future, given an annual 10% interest rate, is:",$10.,$11.,$100.,$110.,C,"The correct answer is c.  $100
From the question:
Future value is $110
Annual interest rate is 10%
Calculation of Present Value using the future value formula:
{eq}\begin{align*}{\rm{Future}}\,{\rm{\;Value}} &= {\rm{Present\; Value}}{\left( {1 + {\rm{rate}}} \right)^{{\rm{time}}}}\\\$ 110 &= {\rm{Present \;Value}}{(1 + 0.1)^1}\\{\rm{Present \;Value}} &= \frac{{\$ 110}}{{1.1}}\\{\rm{Present\; Value}}& = \$ 100\end{align*}

{/eq}
Therefore, the present value is $100.",Future Value: Future value is a technique an investor uses to determine the present value of the cash streams he will receive in the future to analyze if funding the investment is money worthy or not.
45,"A couple will retire in 40 years; they plan to spend about $29,000 a year in retirement, which should last about 20 years. They believe that they can earn 9% interest on retirement savings.","If they make annual payments into a savings plan, how much will they need to save each year? Assume the first payment comes in 1 year. (Do not round intermediate calculations. Round your answer to 2 decimal places.)","How would the answer to part (a) change if the couple also realize that in 15 years they will need to spend $59,000 on their child's college education? (Do not round intermediate calculations. Round your answer to 2 decimal places.)",,,A,"Part a.
Amount Needed after retirement each year (P) = $29,000
Number of years amount needed (n) = 20
Rate of interest (r) = 9%
First we have to calculate the total amount needed at retirement
Number of deposits before retirements (n1) = 40
{eq}\begin{align}\rm\text{Present Value of Annuity} &=  P \times \frac{{1 - {{(1 + r)}^{ - n}}}}{r}\\

&= \$ 29,000 \times \frac{{1 - {{(1 + 0.09)}^{ - 20}}}}{{0.09}}\\

&= \$ 264,727.82\\

\rm\text{Amount to be deposited each year}  &=  \frac{{PV \times r}}{{{{(1 + r)}^{n1}} - 1}}\\

&= \frac{{\$ 264,727.82 \times 0.09}}{{{{(1 + 0.09)}^{40}} - 1}}\\

&= \$ 783.49\end{align}

{/eq}
So, couple will have to save $783.49 per year for their retirement
Part b.
Now, the couple required $59,000 in 15 years.
N2 = 15 years
First we calculate the future value this amount till the retirement period
{eq}\begin{align}\rm\text{Future Value of the amount} &=  \$ 59,000(1 + r)^{n1 - n2}\\

&= \$ 59,000{(1 + 0.09)^{40 - 15}}\\

&= \$ 508,761.76\\

\rm\text{Total amount needed at retirement (A)} &=  \$ 264,727.82  + \$ 508,761.76\\

&= \$ 773,489.58\\

\rm\text{Amount to be deposited each year} &= \frac{{A \times r}}{{{{(1 + r)}^{n1}} - 1}}\\

&= \frac{{773,489.58 \times 0.09}}{{{{(1 + 0.09)}^{40}} - 1}}\\

&= \$ 2,289.23\end{align}

{/eq}",Future Value: Future Value refers to the final value of annuity or a lump sum amount invested at a certain interest rate for a certain period. The basic assumption is that the interest generated over the period is reinvested into the principal amount.
46,"You have just made your first $3,500 contribution to your retirement account. Assuming you earn an 8 percent rate of return and make no additional contributions.",What will your account be worth when you retire in 35 years?,What will your account be worth if you wait 7 years before contributing?,,,A,"Given information:
Initial Deposit = $3,500
Annual rate of return (I) = 8%
Holding periods (N) = 35 years
Waiting period (n) = 7 years
a. Estimate the future value of the initial deposit after 35 years:
{eq}\text{Future Value} = \displaystyle \text{Initial Deposit} \times (1 + \text{I})^N \\ \text{Future Value} = \displaystyle \$3,500 \times (1 + 8\%)^{35} \\ \text{Future Value} = \displaystyle \$3,500 \times 14.78534 \\ \text{Future Value} = \displaystyle \$51,748.69 {/eq}
b. Estimate the account balance if the initial deposit is delayed for 7 years:
{eq}\text{Future Value} = \displaystyle \text{Initial Deposit} \times (1 + \text{I})^{N - n} \\ \text{Future Value} = \displaystyle \$3,500 \times (1 + 8\%)^{35 - 7} \\ \text{Future Value} = \displaystyle \$3,500 \times 8.62711 \\ \text{Future Value} = \displaystyle \$30,194.89 {/eq}","Future Value (FV): The future value of an investment offers how an investment will be worth after a given holding period. The future value has a direct relationship with the annual rate of return. If that is, an increase in the rate of return will raise the expected future value of an investment."
47,"At the end of two years, what will be the balance in a savings account paying 5% annually if $32000 is deposited today? The future value of one at 5% for one period is 1.05.","$33,600","$35,200","$32,000","$35,280",D,"The correct option is
option d. $35,280
.
Given information:
Present value = $32,000
Interest rate = 5%
Period = 2 years
The future value is calculated using the following formula:
{eq}\begin{aligned} \text{Future}\ \text{value}&=\text{Present}\ \text{value}\times {{\left( 1+\text{Interest}\ \text{rate} \right)}^{\text{Period}}} \\ &=\$32,000\times {{\left( 1+5\% \right)}^{2}} \\ &=\$32,000\times 1.1025 \\ &=\$35,280 \end{aligned} {/eq}
The future value is $35,280.",Future Value: Future value is the amount of money that grows over time when invested in any asset or security that pays interest. The future value concept comes from the time value of money concept.
48,"What is the future value of $2,000 when invested for 5 years at:",8% per year compounded annually,8% per year compounded semiannually,8% per year compounded quarterly,,A,"FV formula:
{eq}FV = PV\times (1 + I)^N {/eq}
a.
{eq}FV = \$2,000\times (1 + 8\%)^5 = $2,938.66{/eq}
b.
{eq}FV = \$2,000\times (1 + \frac{8\%}{2})^{5\times 2} =\$2,960.49{/eq}
c.
{eq}FV = \$2,000\times (1 + \frac{8\%}{4})^{5\times 4} = \$2,971.89{/eq}","Compounding Interest: There are two methods of calculating interest in financial analysis: simple interest and compounding interest. Apart from simple interest, compounding interest count additional interest on interest, which will produce a higher account balance at the end of period."
49,Find the amount to which $200 will grow under each of these conditions:,6% compounded annually for 9 years.,6% compounded semiannually for 9 years.,6% compounded quarterly for 9 years.,6% compounded monthly for 9 years.,A,"FV formula:
{eq}FV = PV\times (1 + I)^N {/eq}
a.
{eq}FV = $200\times (1 + 6\%)^9  = $337.90{/eq}
b.
{eq}FV = $200\times (1 + \frac{6\%}{2})^{9\times 2} = $340.47{/eq}
c.
{eq}FV = $200\times (1 + \frac{6\%}{4})^{9\times 4} = $341.83{/eq}
d.
{eq}FV = $200\times (1 + \frac{6\%}{12})^{9\times 12} = $342.74{/eq}","Future Value: Future value is an necessary estimate for a financial planning, which will helps investors to recognize their potential wealth after years of holding the investment. The future value and interest rate have an direct relationship, in practice."
50,The sum of the present values of all cash flows (inflows and outflows) is called:,the payback cost.,internal rate of return.,net present value.,required rate of return.,A,"The correct option is a).
Let us discuss each alternative:
a) the payback cost.
No. The payback period is a formula used to calculate the number of years it would take to recover the initial cash investment.
b) internal rate of return.
No. the internal rate of return is the discount rate that must be used to arrive at discounted annual cash flows that equal the initial investment.
c) net present value.
This is the correct alternative. We calculate the net present value by first determining the cash flows for each year of a project's life, then discounting those cash flows using the required rate of return, and then adding the results to arrive at the net present value.
d) required rate of return.
No, this is the discount rate used to calculate the present values of all cash flows.","Present Value of Cash Flows: The present value of a cash flow is the value in today's money of an amount that will be received in the future. It is calculated by taking the cost of money into consideration, and it is always less than the future cash flow (unless interest rates are negative)."
51,"What is the present value of a four-year annuity of {eq}\$100

{/eq} per year that begins {eq}2

{/eq} years from today if the discount rate is {eq}9\%

{/eq}?","{eq}\$297.22

{/eq}.","{eq}\$323.97

{/eq}.","{eq}\$356.85

{/eq}.","{eq}\$272.68

{/eq}.",D,"The correct option is d $272.68
First, the Value of $100 deposited for four years will be calculated:
{eq}\begin{align*}

{\rm\text{Accumulated amount}} &= {\rm\text{Annuity}} \times \left( {\frac{{1 - {{\left( {1 + {\rm\text{i}}} \right)}^{ - {\rm\text{n}}}}}}{{\rm\text{i}}}} \right)\\

& = \$ 100 \times \left( {\frac{{1 - {{\left( {1 + 0.09} \right)}^{ - 4}}}}{{0.09}}} \right)\\

& = \$ 323.97

\end{align*}

{/eq}
Now the present value of this accumulated amount would be calculated using the PV formula:
{eq}\begin{align*}

{\rm\text{FV}}& = {\rm\text{PV}}{\left( {1 + {\rm\text{i}}} \right)^{\rm\text{n}}}\\

\$ 323.97 &= {\rm\text{PV}}{\left( {1 + 0.09} \right)^2}\\

{\rm\text{PV}} &= \$ 272.68

\end{align*}

{/eq}","Discount Rate: Discount rate is used to calculate the present and future value of money. It is the return that an investor desires to earn for keeping his funds locked during a fixed period of time.  The risk free rate, market return and beta are used to arrive at required return."
