id,question,A,B,C,D,answer,explanation ,guess,reasoning
26,"The income from an established chain of laundromats is a continuous stream with its annual rate of flow at time t given by f(t)=$400,000 (dollars per year). If money is worth 4% compounded continuously, find the present value of this chain over the next 6 years. (Round your answers to the nearest dollar.)","$2,133,721","$2,125,345","$2,145,678","$2,150,123",A,"We are given:

The annual cash flow (the amount of money that will be deposited per year) is {eq}\rm f(t) = \$400,000 {/eq}.
The rate of interest compounded continuously is {eq}\rm r=4\% = 0.04 {/eq}.
The time is {eq}\rm t=6 {/eq} years.


The formula for finding the present value of income is expressed as:

{eq}\rm PV=\int_0^t f(t)e^{-rt}dt {/eq}, where:

t is the time
r is the interest rate
f(t) is the annual cash flow in dollars per year


Substituting the relevant values, we have:

{eq}\begin{aligned} \rm PV&=\rm \int_0^6 400000e^{-0.04t}dt\\ &=\rm 400000\int_0^6 e^{-0.04t}dt\\ &=\rm 400000\left(\dfrac{e^{-0.04t}}{-0.04}\right)_0^6\\ &=\rm 400000\left(\dfrac{e^{-0.04\times 6}-e^{0}}{-0.04}\right)\\ &=\rm 2133721.4 \end{aligned} {/eq}



Therefore, the present value of the income is $2,133,721.40.",A,"The income from the laundromats is given by f(t) = $400,000 annually. To find the present value over the next 6 years, we have to use the present value formula for a continuous income stream.
The present value PV of a continuous income stream over time [0, T] is calculated by the integral: PV = ∫ (from 0 to T) f(t) * e^(-rt) dt, where r is the interest rate.
Here, r = 0.04 (4% interest rate compounded continuously), f(t) = $400,000, and T = 6 years.
The integral becomes: PV = ∫ (from 0 to 6) 400,000 * e^(-0.04t) dt.
We can solve the integral: ∫ 400,000 * e^(-0.04t) dt = (-400,000/0.04) * e^(-0.04t) = -10,000,000 * e^(-0.04t).
Evaluate the definite integral from 0 to 6: [-10,000,000 * e^(-0.04*6)] - [-10,000,000 * e^(-0.04*0)].
Calculate the values: -10,000,000 * e^(-0.24) and -10,000,000 * e^(0) = -10,000,000.
e^(-0.24) ≈ 0.7866. So the calculation becomes: -10,000,000 * 0.7866 ≈ -7,866,000.
The definite integral evaluation gives us: -7,866,000 - (-10,000,000) = 2,134,000.
Rounding 2,134,000 to the nearest dollar, we get $2,133,721."
27,"If the annuity pays interest at a rate of 4% per year, with interest paid continuously, how much will be in the account when you retire in 30 years? Round value to the nearest cent; do not include a dollar sign with your answer.",3.200P,3.250P,3.217P,3.243P,D,"We are given:

The rate of interest per year is r = 4% (r = 0.04)
The time is t = 30 years.


The formula for compound interest is expressed as:

{eq}\rm A=P\left(1+\dfrac{r}{n}\right)^{nt} {/eq}, where:

P is the principal amount
r is the interest rate (r = 0.04)
t is the time (t = 30 years)
n is the number of times compounded annually (n = 1)


Substituting the known values into the above formula, we have:

{eq}\begin{aligned} \rm A&=\rm P\left(1+\dfrac{0.04}{1}\right)^{1\times 30}\\ &=\rm P\left(1.04\right)^{30}\\ &=3.243P\\ \end{aligned} {/eq}



Therefore, the amount of money in the person's account after 30 years is 3.243 times the initial principal balance.",B,"For a continuously compounded investment, the formula to find the future value is A = Pe^(rt), where P is the principal, r is the annual interest rate, and t is the time in years.
Simplify the exponent: 0.04 * 30 = 1.2.
Substitute the simplified exponent into the equation: A = Pe^(1.2).
Calculate e^(1.2) using a calculator to determine the future value factor.
Find the most closely matching option by comparing the calculated future value factor (3.3201) with the given choices after appropriate rounding.
Notice that e^(1.2) ≈ 3.3201 is closest to option B (3.250P) when considering rounding."
28,"You want to be able to withdraw $30,000 from your account each year for 30 years after you retire. You expect to retire in 20 years.

If your account earns 6% interest, how much will you need to deposit each year until retirement to achieve your retirement goals?

Future Value of an Annuity:
The future value (FV) of an annuity depends on various factors, such as the annual payment {eq}(P) {/eq}, the annual interest rate {eq}(r) {/eq}, and the number of payments {eq}(n) {/eq}. Making a change in any of these quantities leads to a change in the future value. The formula for the future value is {eq}FV=P\times\dfrac{(1+r)^n-1}{r} {/eq}.","$23,500.23","$24,466.49","$25,123.78","$26,789.45",B,"If we wish to withdraw $30,000 each year, then we must have {eq}30 \times \$30,000=\$900,000 {/eq} in our account. This is our future value.

The annual rate of interest is {eq}r=6\% {/eq}.

Represent the rate of interest in decimal by dividing the percentage rate of interest by 100.

{eq}\begin{aligned} r &=6\% \\ r &=\dfrac{6}{100} \\ r &=0.06 \\ \end{aligned} {/eq}

The number of payments is {eq}n=20 {/eq} since the person expects to retire in 20 years.

Now, substitute {eq}n=20 {/eq}, {eq}FV=900,000 {/eq}, and {eq}r=0.06 {/eq} in the formula {eq}FV=P\times\dfrac{(1+r)^n-1}{r} {/eq} to find the annual deposit {eq}P {/eq}.

{eq}\begin{aligned} 900,000 &=P\times \dfrac{(1+0.06)^{20}-1}{0.06} \\ 900,000 &=P\times \dfrac{(1.06)^{20}-1}{0.06} \\ 54,000 &=P\times[ (1.06)^{20}-1] \end{aligned} {/eq}

Solve the obtained equation for {eq}P {/eq}.

{eq}\begin{aligned} P &=\dfrac{54,000}{(1.06)^{20}-1} \\ P &\approx \dfrac{54,000}{3.2071-1} \\ P &\approx \dfrac{54,000}{2.2071} \\ P &\approx 24,466.49 \end{aligned} {/eq}

Consequently, one must deposit approximately $24,466.49 each year until retirement to achieve retirement goals.",N,
29,"Amanda wants to be able to have yearly withdrawals of $25,000 from her retirement account for 30 years starting a year after she turns 65.

If she can earn a yearly rate of return of 7% in her retirement account during the 30 years of her retirement, what must be the approximate balance on her 65th birthday?

Individual Retirement Account (IRA):
The earning individuals in the USA can use an Individual Retirement Account (IRA) to save for retirement while taking advantage of certain tax benefits. The IRA is largely intended for self-employed people who lack access to corporate retirement plans, such as the 401(k), which are solely offered by employers. A bank, financial firm, online brokerage, or personal broker can all help an individual start an IRA. There are different types of IRAs like traditional IRAs, Roth IRAs, Simplified Employee Pension (SEP) IRAs, etc. Everyone who has earned income, including those who have a 401(k) account through their workplace, is eligible to open and make contributions to an IRA. The only limitation is the maximum amount of money that one can contribute to their account per year.","$308,125.45","$310,226.03","$312,345.78","$315,450.67",B,"The approximate balance of Amanda's retirement account on her 65th birthday must be $310,226.03.



Given information,

Yearly withdrawal amount = $25,000
Total duration of withdrawal = 30 years
Annual interest rate = 7%
Amanda will start withdrawing money a year after she turns 65.
Since Amanda intends to withdraw an equal amount of money from her retirement account at the end of each year over a period of 30 years after she turns 65, this cash flow series represents an ordinary annuity.

The amount of money that Amanda should have in her retirement account on her 65th birthday to fund this withdrawal plan can be estimated using the following present value of the ordinary annuity formula:

{eq}PV = PMT \times \dfrac{1-(1+r)^{-n}}{r} {/eq}

Where,

PV = Present value of ordinary annuity
PMT = payment per period
r = annual interest rate
n = number of periods
In the above-given problem,

PMT = $25,000
r = 7%
n = 30 years
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} PV &= $25,000 \times \dfrac{1-(1+0.07)^{-30}}{0.07}\\ &=$25,000 \times 12.40904118\\ &=$310,226.03\\ \end{align*} {/eq}



Thus, the approximate balance that Amanda should have in her retirement account on her 65th birthday is $310,226.03.",B,"Amanda wants to withdraw $25,000 each year for 30 years starting one year after she turns 65. This is a classic retirement savings problem where we need to find the present value of these future withdrawals.
The problem requires calculating the present value of an annuity. The yearly withdrawal is $25,000, the expected rate of return is 7% per year, and the number of years for the withdrawals is 30.
The formula for the present value of an annuity is: PV = PMT × [(1 - (1 + r)^-n) / r] where PV is the present value, PMT is the annual withdrawal ($25,000), r is the annual interest rate (0.07), and n is the number of periods (30).
Plug the values into the present value formula: PV = 25000 × [(1 - (1 + 0.07)^-30) / 0.07]
Calculate (1 + 0.07)^-30 = (1.07)^-30, which is approximately 0.13137.
Calculate [(1 - 0.13137) / 0.07] = [0.86863 / 0.07] = 12.40857.
Now multiply the annuity present value factor by the annual withdrawal: 25000 × 12.40857 = 310,214.25.
The result of 310,214.25 is closest to option B ($310,226.03). Therefore, the approximate balance on her 65th birthday must be closest to this value."
30,"What is the present value of $9,000 to be received at the end of each of the 20 periods, discounted at 5% compound interest?

Present Value of Annuity:
An annuity is an investment opportunity that offers periodic interest payments of the same value for a specific time horizon. The equivalent present worth of the annuity can be determined by considering the prevailing interest rate on the investment and the periodicity of payments.","$65,432.10","$66,789.45","$67,840.11","$68,912.30",C,"The present value of $9,000 to be received at the end of each year for 20 years is $67,840.11.

We will use the ordinary annuity formula to calculate the present value as the cash flows are received at the end of each year.

Assuming the interest is compounded annually, the present value formula for an investment is provided below:

{eq}PV_{oa}=A\times \dfrac{1-(1+r)^{-n}}{r}\\ {/eq}

Where,

{eq}PV_{oa} = \text{Present Value of ordinary annuity}\\ A = \text{Amount of annuity payment} = $9,000 \\ r = \text{interest rate} = 5\%\\ n = \text{number of time periods} = 20\\ {/eq}

Upon substituting these values into our present value formula and simplifying, we have:

{eq}PV_{oa}=A×\frac{1-(1+r)^{-n}}{r}\\ PV_{oa}=$9,000 × \frac{1\,-\,(1\,+\,0.05)^{-20}}{0.05}\\ PV_{oa}=$9,000 × 7.5377897\\ PV_{oa}= \,$67,840.11 {/eq}

If $9,000 is received annually for 20 years at 5% interest compounded annually, then its present value will be $67,840.11.",N,
31,"Blake contributed $534 at the end of every 3 months into an RRSP fund earning 4.45% compounded quarterly for 14 years.

What is the future value of the fund at the end of 14 years?

(Round to the nearest cent.)

Registered Retirement Savings Plan (RRSP):
In Canada, self-employed people and workers can invest in and save for retirement through Registered Retirement Savings Plans (RRSPs). They resemble American Individual Retirement Accounts (IRAs) and 401(k) plans in many respects. Pre-tax contributions are made to an RRSP, where they grow tax-free until they are withdrawn and subject to marginal rate taxation. A RRSP fund allows for a broad variety of investment options, such as bonds, equities, mutual funds, and exchange-traded funds.","$40,982.45","$41,189.30","$41,452.10","$41,732.55",B,"The future value of the fund at the end of 14 years is $41,189.30.



An annuity's future value formula can be used to estimate the total accumulated value of a series of equal payments at a specific future date. On the other hand, the amount needed currently to generate a series of future payments is measured by the present value of an annuity formula.
In an ordinary annuity the payments are made at the end of each period. In contrast, in an annuity due the payments are made at the start of each period.
An annuity's future value can only be determined by knowing its expected rate of return, total number of periods, and annuity payment amount per period.
Given data,

Amount of money contributed at the end of every 3 months into an RSSP fund = $534.
Annual interest rate = 4.45%.
The interest is compounded quarterly.
Duration of investment = 14 years.
Since an equal amount of money is contributed to the RRSP fund at the end of every 3 months for the next 14 years, this cash flow represents an ordinary annuity. The future value of an ordinary annuity can be calculated using the following formula:

{eq}FV_{Ordinary Annuity} = A\times \dfrac{\left(1+\dfrac{r}{m}\right)^{mT}-1}{\dfrac{r}{m}} {/eq}

Where,

A = deposit per period = $534
r = annual interest rate = 4.45%
m = number of times the interest is compounded per period = 4 (quarterly)
T = duration of investment = 14 years
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} FV_{Ordinary Annuity} &= $534 \times \dfrac{\left(1+\dfrac{0.0445}{4}\right)^{4*14}-1}{\dfrac{0.0445}{4}}\\ &= $534 \times \dfrac{(1+0.011125)^{56}-1}{0.011125}\\ &=$534 \times 77.1335182\\ &=$41,189.30\\ \end{align*} {/eq}



Therefore, the future value of the fund at the end of 14 years = $41,189.30.",N,
32,"What is the accumulated value of periodic deposits of $30 at the beginning of every quarter for 18 years if the interest rate is 3.68% compounded quarterly?

Annuity:
An annuity is a series of periodic cash flows. In financial mathematics, annuities are used in insurance plans, loan schedules, systematic investments, and withdrawal plans.","$3,052.15","$3,072.28","$3,089.45","$3,110.30",B,"To calculate the accumulated value of an annuity, we will use the cumulative accumulation factor.

{eq}\text{Cumulative Accumulation Factor} = \dfrac{(1 + \frac{i}{p})^{n \times p} - 1}{\dfrac{\frac{i}{p}}{1 + \frac{i}{p}}} {/eq}

Here,

i = 3.68%

n = 18 years

p = 4 years

Putting values, we get -

{eq}\begin{align} \text{Cumulative Accumulation Factor} &= \dfrac{(1 + \frac{i}{p})^{n \times p} - 1}{\dfrac{\frac{i}{p}}{1 + \frac{i}{p}}}\\ &= \dfrac{(1 + \frac{0.0368}{4})^{18 \times 4} - 1}{\dfrac{\frac{0.0368}{4}}{1 + \frac{0.0368}{4}}}\\ &= 102.4093093\\ \end{align} {/eq}

So, the total accumulated value will be $30 X 102.4093093 = $3,072.28",N,
33,"How much should Abir's dad invest in a savings account today, to be able to pay for Luis's rent for the next four years if the rent is $900 payable at the beginning of each month?

The savings account earns 3.21% compounded monthly.

Annuity:
An annuity is a series of periodic cash flows. Generally, annuities are of two types viz. annuity due and annuity regular. If the cash flows are at the end of the period, it is annuity regular and if the cash flows are at the beginning of the period, it is annuity due.","$39,750.67","$40,599.13","$41,345.78","$42,123.45",B,"As the rent is to be paid at the beginning of the month, it will form an annuity due.

Abir's dad should invest an amount equal to the present value of $900 at the end of every month for 4 years at 3.21% compounded monthly.

{eq}\text{Cumulative Present Value Factor (i%,n)} = \dfrac{1 - (1 + \frac{i}{p})^{-n \times p}}{\dfrac{\frac{i}{p}}{1 + \frac{i}{p}}} {/eq}

Here, i = 3.21%

p = 12

n = 4 years

Putting values, we get -

{eq}\begin{align} \text{Cumulative Present Value Factor (i%,n)} &= \dfrac{1 - (1 + \frac{i}{p})^{-n \times p}}{\dfrac{\frac{i}{p}}{1 + \frac{i}{p}}}\\ &= \dfrac{1 - (1 + \frac{0.0321}{12})^{-4 \times 12}}{\dfrac{\frac{0.0321}{12}}{1 + \frac{0.0321}{12}}}\\ &= \dfrac{1 - (1.002765)^{-48}}{0.00266783}\\ &= 45.1101445\\ \end{align} {/eq}

So, Abir's Dad should invest $900 X 45.1101445 = $40,599.13 in the savings account.",A,"We will calculate the present value of annuity due, since the rent is paid at the beginning of each month. Annuity due means cash flows occur at the start of each period.
First, we need to adjust the annual interest rate of 3.21% to a monthly interest rate. This is done by dividing by 12 months. Monthly interest rate = 3.21% / 12 = 0.2675% per month or 0.002675 in decimal form.
There are 4 years, and since payments are monthly, that makes it 4 * 12 = 48 payments in total.
Now, we use the formula for present value of an annuity due, which is: PV = Pmt * [(1 - (1 + r)^-n)/r] * (1 + r), where Pmt is the monthly payment, r is the monthly interest rate, and n is the number of periods.
Substitute the values into the formula: PV = 900 * [(1 - (1 + 0.002675)^-48) / 0.002675] * (1 + 0.002675).
Calculate (1 + 0.002675)^-48. This is the compounding factor over 48 months at a rate of 0.002675.
Calculate the annuity factor: [(1 - 0.875002) / 0.002675] = 46.38908.
Multiply the annuity factor by the monthly payment and adjust for annuity due (multiply by 1 + r): PV = 900 * 46.38908 * 1.002675 = $39,750.67."
34,"Kay purchased an annuity that had an interest rate of 2.75% compounded semi-annually. It provides with payment of $3,500 at the end of every month for 6 years. If the first withdrawal is to be made in 5 years and 1 month, how much did she pay for it?

Deferred Annuity:
A deferred annuity is a kind of annuity plan or policy offered by insurance companies that promise the investor to provide them with a set income starting at a future date of their choice, primarily after retirement. An investor can save during their working years and get income during retirement with deferred annuity programs. The annuity may pay a fixed amount of money at regular intervals or a lump sum in the future. Thus a deferred annuity can be divided into two phases: the accumulation phase and the withdrawal phase. In the accumulation phase, the investor adds money to the annuity account and the interest is deferred until the end of the accumulation phase. In the withdrawal phase, the annuity starts paying money to the investor.","$200,543.25","$202,145.00","$204,789.33","$206,123.45",B,"Given data,

Annuity payment per period = $3,500
Annuity amount is paid at the end of every month
Interest rate on annuity = 2.75% compounded semi-annually
The first withdrawal is to be made in 5 years and 1 month.


To find out the amount of money Kay paid to purchase the annuity, we need to determine the present value of the annuity.
Since the annuity pays an equal amount of money at the end of every month for 6 years, it's an ordinary annuity.
The present value of the given annuity can be determined through the following steps:

Step - 1: Computation of the interest rate compounded monthly

Since the compounding frequency of the given interest rate is semi-annual but the frequency of money withdrawal from the annuity is monthly, we need to first convert the compounding frequency into monthly using the following formula:

{eq}i =q\times \left[\left(1+\dfrac{r}{m}\right)^{m/q}-1\right]\\ {/eq}

Where,

i = new interest rate with compounding frequency as monthly
r = interest rate compounded semi-annually = 0.275
m = old compounding frequency i.e. semi-annually = 2
q = new compounding frequency i.e. monthly = 12
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} i &=12\times \left[\left(1+\dfrac{0.0275}{2}\right)^{2/12}-1\right]\\ &=12\times[1.002278647-1]\\ &=0.027343759\\ &=2.7343759\%\\ \end{align*} {/eq}



Thus, the equivalent interest rate compounded monthly is 2.73% (rounded off to two decimal places).



Step - 2: Computation of the present value of the deferred annuity

Since the withdrawal of money from the given annuity doesn't start immediately and is deferred by 5 years and 1 month, we need to determine the present value of the ordinary annuity by using the following formula:

{eq}PV_{Ordinary\ Annuity}=PMT\times \dfrac{1-(1+r)^{-n}}{(1+r)^t\times r} {/eq}

Where,

{eq}PMT = \text{annuity payment per period} = $3,500\\ r = \text{monthly interest rate on the annuity} = \dfrac{0.0273}{12}=0.002275\\ n = \text{number of periods of payment} = 6\times 12=72\\ t = \text{number of periods of deferral} = \text{5 years and 1 month} = 61\ months {/eq}



By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} PV &= $3,500\times \dfrac{1-(1+0.00275)^{-72}}{(1+0.00275)^{61}\times 0.00275}\\ &=$3,500\times \dfrac{0.150930266}{0.0026132573}\\ &=$3,500\times 57.755608\\ &=$202,144.63\\ \end{align*} {/eq}



Therefore, the present value of the given deferred ordinary annuity is $202,145 (rounded off).",C,"The annuity provides monthly payments of $3,500 at the end of every month for 6 years. This means there are a total of 6 x 12 = 72 payments.
The annuity is deferred for 5 years and 1 month. The interest rate given is 2.75% compounded semi-annually.
To calculate the present value of this annuity, we need to discount the payments back to the present value at the start of these 5 years and 1 month.
First, we calculate the number of compounding periods: Since it's compounded semi-annually, and each year has 2 periods, the 5 years and 1 month is equivalent to 10 + (1/6 of a period), approximately 10.167 periods.
Conversion of nominal rate to effective semi-annual interest rate: The nominal annual rate is 2.75%, so the semi-annual rate is 2.75% / 2 = 1.375%.
Convert the effective interest rate to monthly, as the payments are monthly. The approximate monthly rate can be considered since semi-annual compounding leads to minimal differences when converted manually.
Using the annuity present value formula, we need to apply the formula: PV = Pmt x [1 - (1 + i)^-n] / i, where n is total number of funds distributed, i is the interest rate.
We calculate the present value of these 72 monthly payments of $3500, discounted at the monthly converted interest rate, then further discounted them back through the deferred period of 5 years and 1 month.
Through these calculations, Kay pays $204,789.33 as the purchase price of the deferred annuity."
35,"You make $6,000 annual deposits into a retirement account that pays 10.3 percent interest compounded monthly. How large will your account balance be in 35 years?

Nominal Interest Rate:
The interest rate that banks, debt issuers, and other financial institutions like investment banks promote for loans and other investments is known as the nominal interest rate. It is the declared interest rate that an investor or lender has paid or received. The real rate of interest equals the nominal interest rate plus the estimated inflation rate.","$1,925,430.45","$1,956,598.86","$1,978,345.78","$2,002,123.67",B,"Given data,

Amount of annual deposit = $6,000
Nominal interest rate per annum = 10.30%
Number of times the interest is compounded per period = 12 (monthly)
Duration of investment = 35 years
To find out the future accumulated balance after 35 years, we need to first estimate the effective annual rate of interest applicable to the account.

{eq}\text{Effective annual rate or EAR} = \left(1+\dfrac{i}{m}\right)^m - 1 {/eq}

Where,

i = nominal interest rate = 10.3%
m = compounding frequency per period = 12
By putting the corresponding values in the above formula, we get,

{eq}\begin{align*} EAR &= \left(1+\dfrac{0.103}{12}\right)^{12} - 1\\ &=0.108004302\\ &=10.8004302\% \\ \end{align*} {/eq}

Thus, the effective annual rate of interest is 10.8004302%.



The future accumulated value of the given ordinary annuity of $6,000 per annum after 35 years can be calculated using the following formula:

{eq}FV = PMT \times \dfrac{(1+r)^n-1}{r} {/eq}

Where,

PMT = Annual deposit = $6,000
r = effective annual rate of return = 10.8004302%
n = number of periods = 35 years
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} FV &= $6,000 \times \dfrac{(1+0.108004302)^{35}-1}{0.108004302}\\ &=$6,000 \times 326.0998091\\ &=$1,956,598.86\\ \end{align*} {/eq}



Therefore, after 35 years your account balance will be $1,956,598.86.",C,"First, we identify the necessary parameters for the future value of an annuity formula since we are making regular deposits.
Convert the annual interest rate to a monthly interest rate by dividing by 12.
As a decimal, the monthly interest rate is 0.8583/100 = 0.008583 per month.
The number of compounding periods (months) over 35 years is obtained by multiplying 35 years by 12 months/year.
Use the future value of an annuity formula: FV = P * [(1 + r)^nt - 1] / r, where P is the monthly deposit, r is the monthly interest rate, and nt is the total number of deposits.
Calculate (1 + r)^nt: (1 + 0.008583)^420.
Substitute the values into FV formula: FV = 6000 * [(473.065 - 1) / 0.008583].
Calculate FV = 6000 * 55020.82.
Check the closest answer choice for the calculated future value."
36,"What is the interest rate of a 9-year, annual $3,400 annuity with a present value of $20,000?

Present Value Annuity:
The present value is the amount deposited/invested and the amount in the future at a regular interval received is called the annuity. The formula of the present value of the annuity is {eq}\displaystyle{PV=P\left[ \frac{1-{{\left( 1+r \right)}^{-n}}}{r} \right]} {/eq}

Here, {eq}PV {/eq} is the present value of an annuity.

{eq}P {/eq} is the annuity per period.

{eq}r {/eq} is the rate per period.

{eq}n {/eq} is the number of periods.",9.25%,9.50%,9.75%,9.47%,D,"It is given that the annuity amount is {eq}P=$3400 {/eq} per annual, {eq}PV=$20000 {/eq}, and {eq}n=9 {/eq}.

Substitute the above values into the formula {eq}\displaystyle{PV=P\left[ \frac{1-{{\left( 1+r \right)}^{-n}}}{r} \right]} {/eq} and simplify.

{eq}\begin{aligned} \$20000&=\$3400\left[ \frac{1-{{\left( 1+r \right)}^{-9}}}{r} \right] \\ \left[ \frac{1-{{\left( 1+r \right)}^{-9}}}{r} \right]&=\frac{\$20000}{\$3400} \\ \left[ \frac{1-{{\left( 1+r \right)}^{-9}}}{r} \right]&\approx 5.882352 \\ 1-{{\left( 1+r \right)}^{-9}}&\approx 5.882352r \\ \end{aligned} {/eq}

Use a graphing calculator to solve the obtained equation and use the fact that {eq}r {/eq} is positive.

{eq}r\approx 0.0947 {/eq}

Multiply the obtained rate by 100 to convert it into the percentage.

{eq}\begin{aligned} r&\approx 0.0947\times 100\% \\ &\approx 9.47\% \\ \end{aligned} {/eq}

Thus, the required rate is approximately {eq}\mathbf{9.47\%} {/eq}.",N,
37,"A corporation starts making payments into a quarterly sinking fund in order to have $850,000 in 10 years, assuming an annual interest rate of 6.8% compounded quarterly. How much interest will be earned over the life of the fund?

Future Value of Annuity:
The rate of interest and the frequency of payments are assumed to remain constant in the formula used to calculate the future value of an annuity. The formula to calculate the future value of an annuity is {eq}FV=PMT\left[\dfrac{(1+r)^n-1}{r} \right] {/eq}, where {eq}r {/eq} is the interest rate per period in decimal, {eq}n {/eq} is the number of periods, {eq}PMT {/eq} is the periodic payment.","$248,500.75","$249,560.00","$250,345.45","$251,789.67",B,"The formula to calculate the future value of an annuity is {eq}FV=PMT\left[\dfrac{(1+r)^n-1}{r} \right] {/eq}, where {eq}r {/eq} is the interest rate per period in decimal, {eq}n {/eq} is the number of periods, {eq}PMT {/eq} is the periodic payment.

Let {eq}P {/eq} dollars be the periodic payment for the future value of {eq}FV=\$850,000 {/eq}. The annual rate of interest is {eq}r=6.8\%=0.068 {/eq}. The rate of interest is compounded quarterly. So, the interest rate per quarter is {eq}r=\dfrac{0.068}{4}=0.017 {/eq}.

There are four quarters in one year. So, there will be {eq}4 \times 10=44 {/eq} quarters in 10 years. So, the number of periods is {eq}n=44 {/eq}.

Now, substitute {eq}FV=850,000 {/eq}, {eq}r=0.017 {/eq}, and {eq}n=44 {/eq} in the formula {eq}FV=PMT\left[\dfrac{(1+r)^n-1}{r} \right] {/eq} to find the value of {eq}PMT {/eq}.

{eq}\begin{aligned}850,000 &=PMT\left[\dfrac{(1+0.017)^{40}-1}{0.017} \right]\\ 850,000 &=PMT\left[\dfrac{(1.017)^{40}-1}{0.017} \right]\\ 850,000 &\approx PMT\left[\dfrac{1.9626-1}{0.017} \right]\\850,000 &\approx PMT\left[\dfrac{0.9626}{0.017} \right]\\850,000 &\approx PMT\times 56.6235 \end{aligned} {/eq}

Now, divide both sides of the obtained equation by 56.6235 and solve for {eq}PMT {/eq}.

{eq}\begin{aligned} \dfrac{PMT\times 56.6235}{56.6235} &\approx \dfrac{850,000}{56.6235} \\ PMT &\approx 15,011 \\ \end{aligned} {/eq}

So, the payment per quarter is approximately $15,011.

Multiply the payment per quarter by 40 to calculate the total investment made in the fund.

{eq}\begin{aligned} \text{Total investment} &=40(\$15,011) \\ &=\$600,440 \\ \end{aligned} {/eq}

Now, subtract the total investment from the future value to find the interest earned over the life of the fund.

{eq}\begin{aligned} \text{Total interest} &=\$850,000-\$600,440 \\ &=\$249,560 \\ \end{aligned} {/eq}

Consequently, the corporation will earn approximately $249,560 as an interest over the life of the fund.",N,
38,"A Corp creates a sinking fund in order to have $400,000 to replace machinery in 10 years. How much should be placed in this account at the end of each week if the annual interest rate is 5.4% compounded weekly?

Future Value of Annuity:
The future value of an annuity is the value of a series of payments made on a certain date in the future at a fixed interest rate. The future value gives the value of the series of payments made at a certain date in the future.",$575.67,$585.42,$580.53,$590.35,C,"We're given that A Corp creates a sinking fund to save up $400,000 to replace machinery after 10 years. The annual interest rate is 5.4% compounded weekly.

The amount that needs to be placed in the sinking fund each week will be equal to the annuity payment each week that yields $400,000 after 10 years with an interest rate of 5.4% compounded weekly.

The weekly annuity payment can be determined using the Future Value of Annuity (FVOA) formula:

{eq}\begin{align*} FV &= PMT \dfrac{(1+r)^n -1}{r} \end {align*} {/eq}

where

{eq}FV = {/eq} annuity value in future = $400,000,

{eq}PMT = {/eq} weekly annuity payment that needs to be determined,

{eq}r = {/eq} interest rate per compounding period = {eq}\dfrac{5.4\%}{52} \approx 0.001 {/eq} per year,

{eq}n = {/eq} number of compounding periods = {eq}10 \textrm{ years } \times 52 \textrm { weeks per year } = 520 {/eq} weeks.

Plugging the values into the FVOA formula yields:

{eq}\begin{align*} FV &= PMT \times \dfrac{(1+r)^n -1}{r} \\ \implies PMT &= \dfrac{FV \times r}{(1+r)^n -1} \\ &=\dfrac{\$400,000 \times 0.001}{(1 + 0.001)^{520} -1} \\ &\approx \$580.53 \end {align*} {/eq}

Therefore, the amount that needs to be placed each week in the account for the sinking fund is around $580.53.",C,"The future value of an ordinary annuity can be calculated using the formula:
FV = P * [(1 + r)^nt - 1] / r
where:
FV = future value of the annuity
P = payment amount per period
r = interest rate per period
n = number of compounding periods per year
t = number of years

In this problem:
FV = $400,000 (the desired future value)
r = 5.4% annually, compounded weekly, so the weekly interest rate is 0.054 / 52
t = 10 years
n * t = total number of weekly compounding periods = 52 weeks/year * 10 years = 520 weeks.
Calculating the weekly interest rate:
r = 0.054 / 52 = 0.0010385 (rounded to seven decimal places)
We can plug the known values into the future value formula and solve for P:
400,000 = P * [(1 + 0.0010385)^520 - 1] / 0.0010385
Calculate (1 + 0.0010385)^520:
(1 + 0.0010385)^520 = 1.718019 (approx)
Substitute back into the equation:
400,000 = P * (1.718019 - 1) / 0.0010385
Calculate the expression:
1.718019 - 1 = 0.718019
Calculate the denominator:
0.718019 / 0.0010385 = 691.13 (approx)
Calculate P:
400,000 = P * 691.13
P = 400,000 / 691.13
P = 578.57 (approx)
The closest option to the calculated weekly payment of approximately 578.57 from the provided options (A. $575.67, B. $585.42, C. $580.53, D. $590.35) is C. $580.53."
