id,question,A,B,C,D,answer,explanation ,guess,correct
30,"What is the present value of $9,000 to be received at the end of each of the 20 periods, discounted at 5% compound interest?

Present Value of Annuity:
An annuity is an investment opportunity that offers periodic interest payments of the same value for a specific time horizon. The equivalent present worth of the annuity can be determined by considering the prevailing interest rate on the investment and the periodicity of payments.","$65,432.10","$66,789.45","$67,840.11","$68,912.30",C,"The present value of $9,000 to be received at the end of each year for 20 years is $67,840.11.

We will use the ordinary annuity formula to calculate the present value as the cash flows are received at the end of each year.

Assuming the interest is compounded annually, the present value formula for an investment is provided below:

{eq}PV_{oa}=A\times \dfrac{1-(1+r)^{-n}}{r}\\ {/eq}

Where,

{eq}PV_{oa} = \text{Present Value of ordinary annuity}\\ A = \text{Amount of annuity payment} = $9,000 \\ r = \text{interest rate} = 5\%\\ n = \text{number of time periods} = 20\\ {/eq}

Upon substituting these values into our present value formula and simplifying, we have:

{eq}PV_{oa}=A×\frac{1-(1+r)^{-n}}{r}\\ PV_{oa}=$9,000 × \frac{1\,-\,(1\,+\,0.05)^{-20}}{0.05}\\ PV_{oa}=$9,000 × 7.5377897\\ PV_{oa}= \,$67,840.11 {/eq}

If $9,000 is received annually for 20 years at 5% interest compounded annually, then its present value will be $67,840.11.",B,0
31,"Blake contributed $534 at the end of every 3 months into an RRSP fund earning 4.45% compounded quarterly for 14 years.

What is the future value of the fund at the end of 14 years?

(Round to the nearest cent.)

Registered Retirement Savings Plan (RRSP):
In Canada, self-employed people and workers can invest in and save for retirement through Registered Retirement Savings Plans (RRSPs). They resemble American Individual Retirement Accounts (IRAs) and 401(k) plans in many respects. Pre-tax contributions are made to an RRSP, where they grow tax-free until they are withdrawn and subject to marginal rate taxation. A RRSP fund allows for a broad variety of investment options, such as bonds, equities, mutual funds, and exchange-traded funds.","$40,982.45","$41,189.30","$41,452.10","$41,732.55",B,"The future value of the fund at the end of 14 years is $41,189.30.



An annuity's future value formula can be used to estimate the total accumulated value of a series of equal payments at a specific future date. On the other hand, the amount needed currently to generate a series of future payments is measured by the present value of an annuity formula.
In an ordinary annuity the payments are made at the end of each period. In contrast, in an annuity due the payments are made at the start of each period.
An annuity's future value can only be determined by knowing its expected rate of return, total number of periods, and annuity payment amount per period.
Given data,

Amount of money contributed at the end of every 3 months into an RSSP fund = $534.
Annual interest rate = 4.45%.
The interest is compounded quarterly.
Duration of investment = 14 years.
Since an equal amount of money is contributed to the RRSP fund at the end of every 3 months for the next 14 years, this cash flow represents an ordinary annuity. The future value of an ordinary annuity can be calculated using the following formula:

{eq}FV_{Ordinary Annuity} = A\times \dfrac{\left(1+\dfrac{r}{m}\right)^{mT}-1}{\dfrac{r}{m}} {/eq}

Where,

A = deposit per period = $534
r = annual interest rate = 4.45%
m = number of times the interest is compounded per period = 4 (quarterly)
T = duration of investment = 14 years
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} FV_{Ordinary Annuity} &= $534 \times \dfrac{\left(1+\dfrac{0.0445}{4}\right)^{4*14}-1}{\dfrac{0.0445}{4}}\\ &= $534 \times \dfrac{(1+0.011125)^{56}-1}{0.011125}\\ &=$534 \times 77.1335182\\ &=$41,189.30\\ \end{align*} {/eq}



Therefore, the future value of the fund at the end of 14 years = $41,189.30.",B,1
32,"What is the accumulated value of periodic deposits of $30 at the beginning of every quarter for 18 years if the interest rate is 3.68% compounded quarterly?

Annuity:
An annuity is a series of periodic cash flows. In financial mathematics, annuities are used in insurance plans, loan schedules, systematic investments, and withdrawal plans.","$3,052.15","$3,072.28","$3,089.45","$3,110.30",B,"To calculate the accumulated value of an annuity, we will use the cumulative accumulation factor.

{eq}\text{Cumulative Accumulation Factor} = \dfrac{(1 + \frac{i}{p})^{n \times p} - 1}{\dfrac{\frac{i}{p}}{1 + \frac{i}{p}}} {/eq}

Here,

i = 3.68%

n = 18 years

p = 4 years

Putting values, we get -

{eq}\begin{align} \text{Cumulative Accumulation Factor} &= \dfrac{(1 + \frac{i}{p})^{n \times p} - 1}{\dfrac{\frac{i}{p}}{1 + \frac{i}{p}}}\\ &= \dfrac{(1 + \frac{0.0368}{4})^{18 \times 4} - 1}{\dfrac{\frac{0.0368}{4}}{1 + \frac{0.0368}{4}}}\\ &= 102.4093093\\ \end{align} {/eq}

So, the total accumulated value will be $30 X 102.4093093 = $3,072.28",D,0
33,"How much should Abir's dad invest in a savings account today, to be able to pay for Luis's rent for the next four years if the rent is $900 payable at the beginning of each month?

The savings account earns 3.21% compounded monthly.

Annuity:
An annuity is a series of periodic cash flows. Generally, annuities are of two types viz. annuity due and annuity regular. If the cash flows are at the end of the period, it is annuity regular and if the cash flows are at the beginning of the period, it is annuity due.","$39,750.67","$40,599.13","$41,345.78","$42,123.45",B,"As the rent is to be paid at the beginning of the month, it will form an annuity due.

Abir's dad should invest an amount equal to the present value of $900 at the end of every month for 4 years at 3.21% compounded monthly.

{eq}\text{Cumulative Present Value Factor (i%,n)} = \dfrac{1 - (1 + \frac{i}{p})^{-n \times p}}{\dfrac{\frac{i}{p}}{1 + \frac{i}{p}}} {/eq}

Here, i = 3.21%

p = 12

n = 4 years

Putting values, we get -

{eq}\begin{align} \text{Cumulative Present Value Factor (i%,n)} &= \dfrac{1 - (1 + \frac{i}{p})^{-n \times p}}{\dfrac{\frac{i}{p}}{1 + \frac{i}{p}}}\\ &= \dfrac{1 - (1 + \frac{0.0321}{12})^{-4 \times 12}}{\dfrac{\frac{0.0321}{12}}{1 + \frac{0.0321}{12}}}\\ &= \dfrac{1 - (1.002765)^{-48}}{0.00266783}\\ &= 45.1101445\\ \end{align} {/eq}

So, Abir's Dad should invest $900 X 45.1101445 = $40,599.13 in the savings account.",B,1
34,"Kay purchased an annuity that had an interest rate of 2.75% compounded semi-annually. It provides with payment of $3,500 at the end of every month for 6 years. If the first withdrawal is to be made in 5 years and 1 month, how much did she pay for it?

Deferred Annuity:
A deferred annuity is a kind of annuity plan or policy offered by insurance companies that promise the investor to provide them with a set income starting at a future date of their choice, primarily after retirement. An investor can save during their working years and get income during retirement with deferred annuity programs. The annuity may pay a fixed amount of money at regular intervals or a lump sum in the future. Thus a deferred annuity can be divided into two phases: the accumulation phase and the withdrawal phase. In the accumulation phase, the investor adds money to the annuity account and the interest is deferred until the end of the accumulation phase. In the withdrawal phase, the annuity starts paying money to the investor.","$200,543.25","$202,145.00","$204,789.33","$206,123.45",B,"Given data,

Annuity payment per period = $3,500
Annuity amount is paid at the end of every month
Interest rate on annuity = 2.75% compounded semi-annually
The first withdrawal is to be made in 5 years and 1 month.


To find out the amount of money Kay paid to purchase the annuity, we need to determine the present value of the annuity.
Since the annuity pays an equal amount of money at the end of every month for 6 years, it's an ordinary annuity.
The present value of the given annuity can be determined through the following steps:

Step - 1: Computation of the interest rate compounded monthly

Since the compounding frequency of the given interest rate is semi-annual but the frequency of money withdrawal from the annuity is monthly, we need to first convert the compounding frequency into monthly using the following formula:

{eq}i =q\times \left[\left(1+\dfrac{r}{m}\right)^{m/q}-1\right]\\ {/eq}

Where,

i = new interest rate with compounding frequency as monthly
r = interest rate compounded semi-annually = 0.275
m = old compounding frequency i.e. semi-annually = 2
q = new compounding frequency i.e. monthly = 12
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} i &=12\times \left[\left(1+\dfrac{0.0275}{2}\right)^{2/12}-1\right]\\ &=12\times[1.002278647-1]\\ &=0.027343759\\ &=2.7343759\%\\ \end{align*} {/eq}



Thus, the equivalent interest rate compounded monthly is 2.73% (rounded off to two decimal places).



Step - 2: Computation of the present value of the deferred annuity

Since the withdrawal of money from the given annuity doesn't start immediately and is deferred by 5 years and 1 month, we need to determine the present value of the ordinary annuity by using the following formula:

{eq}PV_{Ordinary\ Annuity}=PMT\times \dfrac{1-(1+r)^{-n}}{(1+r)^t\times r} {/eq}

Where,

{eq}PMT = \text{annuity payment per period} = $3,500\\ r = \text{monthly interest rate on the annuity} = \dfrac{0.0273}{12}=0.002275\\ n = \text{number of periods of payment} = 6\times 12=72\\ t = \text{number of periods of deferral} = \text{5 years and 1 month} = 61\ months {/eq}



By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} PV &= $3,500\times \dfrac{1-(1+0.00275)^{-72}}{(1+0.00275)^{61}\times 0.00275}\\ &=$3,500\times \dfrac{0.150930266}{0.0026132573}\\ &=$3,500\times 57.755608\\ &=$202,144.63\\ \end{align*} {/eq}



Therefore, the present value of the given deferred ordinary annuity is $202,145 (rounded off).",A,0
35,"You make $6,000 annual deposits into a retirement account that pays 10.3 percent interest compounded monthly. How large will your account balance be in 35 years?

Nominal Interest Rate:
The interest rate that banks, debt issuers, and other financial institutions like investment banks promote for loans and other investments is known as the nominal interest rate. It is the declared interest rate that an investor or lender has paid or received. The real rate of interest equals the nominal interest rate plus the estimated inflation rate.","$1,925,430.45","$1,956,598.86","$1,978,345.78","$2,002,123.67",B,"Given data,

Amount of annual deposit = $6,000
Nominal interest rate per annum = 10.30%
Number of times the interest is compounded per period = 12 (monthly)
Duration of investment = 35 years
To find out the future accumulated balance after 35 years, we need to first estimate the effective annual rate of interest applicable to the account.

{eq}\text{Effective annual rate or EAR} = \left(1+\dfrac{i}{m}\right)^m - 1 {/eq}

Where,

i = nominal interest rate = 10.3%
m = compounding frequency per period = 12
By putting the corresponding values in the above formula, we get,

{eq}\begin{align*} EAR &= \left(1+\dfrac{0.103}{12}\right)^{12} - 1\\ &=0.108004302\\ &=10.8004302\% \\ \end{align*} {/eq}

Thus, the effective annual rate of interest is 10.8004302%.



The future accumulated value of the given ordinary annuity of $6,000 per annum after 35 years can be calculated using the following formula:

{eq}FV = PMT \times \dfrac{(1+r)^n-1}{r} {/eq}

Where,

PMT = Annual deposit = $6,000
r = effective annual rate of return = 10.8004302%
n = number of periods = 35 years
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} FV &= $6,000 \times \dfrac{(1+0.108004302)^{35}-1}{0.108004302}\\ &=$6,000 \times 326.0998091\\ &=$1,956,598.86\\ \end{align*} {/eq}



Therefore, after 35 years your account balance will be $1,956,598.86.",B,1
36,"What is the interest rate of a 9-year, annual $3,400 annuity with a present value of $20,000?

Present Value Annuity:
The present value is the amount deposited/invested and the amount in the future at a regular interval received is called the annuity. The formula of the present value of the annuity is {eq}\displaystyle{PV=P\left[ \frac{1-{{\left( 1+r \right)}^{-n}}}{r} \right]} {/eq}

Here, {eq}PV {/eq} is the present value of an annuity.

{eq}P {/eq} is the annuity per period.

{eq}r {/eq} is the rate per period.

{eq}n {/eq} is the number of periods.",9.25%,9.50%,9.75%,9.47%,D,"It is given that the annuity amount is {eq}P=$3400 {/eq} per annual, {eq}PV=$20000 {/eq}, and {eq}n=9 {/eq}.

Substitute the above values into the formula {eq}\displaystyle{PV=P\left[ \frac{1-{{\left( 1+r \right)}^{-n}}}{r} \right]} {/eq} and simplify.

{eq}\begin{aligned} \$20000&=\$3400\left[ \frac{1-{{\left( 1+r \right)}^{-9}}}{r} \right] \\ \left[ \frac{1-{{\left( 1+r \right)}^{-9}}}{r} \right]&=\frac{\$20000}{\$3400} \\ \left[ \frac{1-{{\left( 1+r \right)}^{-9}}}{r} \right]&\approx 5.882352 \\ 1-{{\left( 1+r \right)}^{-9}}&\approx 5.882352r \\ \end{aligned} {/eq}

Use a graphing calculator to solve the obtained equation and use the fact that {eq}r {/eq} is positive.

{eq}r\approx 0.0947 {/eq}

Multiply the obtained rate by 100 to convert it into the percentage.

{eq}\begin{aligned} r&\approx 0.0947\times 100\% \\ &\approx 9.47\% \\ \end{aligned} {/eq}

Thus, the required rate is approximately {eq}\mathbf{9.47\%} {/eq}.",B,0
37,"A corporation starts making payments into a quarterly sinking fund in order to have $850,000 in 10 years, assuming an annual interest rate of 6.8% compounded quarterly. How much interest will be earned over the life of the fund?

Future Value of Annuity:
The rate of interest and the frequency of payments are assumed to remain constant in the formula used to calculate the future value of an annuity. The formula to calculate the future value of an annuity is {eq}FV=PMT\left[\dfrac{(1+r)^n-1}{r} \right] {/eq}, where {eq}r {/eq} is the interest rate per period in decimal, {eq}n {/eq} is the number of periods, {eq}PMT {/eq} is the periodic payment.","$248,500.75","$249,560.00","$250,345.45","$251,789.67",B,"The formula to calculate the future value of an annuity is {eq}FV=PMT\left[\dfrac{(1+r)^n-1}{r} \right] {/eq}, where {eq}r {/eq} is the interest rate per period in decimal, {eq}n {/eq} is the number of periods, {eq}PMT {/eq} is the periodic payment.

Let {eq}P {/eq} dollars be the periodic payment for the future value of {eq}FV=\$850,000 {/eq}. The annual rate of interest is {eq}r=6.8\%=0.068 {/eq}. The rate of interest is compounded quarterly. So, the interest rate per quarter is {eq}r=\dfrac{0.068}{4}=0.017 {/eq}.

There are four quarters in one year. So, there will be {eq}4 \times 10=44 {/eq} quarters in 10 years. So, the number of periods is {eq}n=44 {/eq}.

Now, substitute {eq}FV=850,000 {/eq}, {eq}r=0.017 {/eq}, and {eq}n=44 {/eq} in the formula {eq}FV=PMT\left[\dfrac{(1+r)^n-1}{r} \right] {/eq} to find the value of {eq}PMT {/eq}.

{eq}\begin{aligned}850,000 &=PMT\left[\dfrac{(1+0.017)^{40}-1}{0.017} \right]\\ 850,000 &=PMT\left[\dfrac{(1.017)^{40}-1}{0.017} \right]\\ 850,000 &\approx PMT\left[\dfrac{1.9626-1}{0.017} \right]\\850,000 &\approx PMT\left[\dfrac{0.9626}{0.017} \right]\\850,000 &\approx PMT\times 56.6235 \end{aligned} {/eq}

Now, divide both sides of the obtained equation by 56.6235 and solve for {eq}PMT {/eq}.

{eq}\begin{aligned} \dfrac{PMT\times 56.6235}{56.6235} &\approx \dfrac{850,000}{56.6235} \\ PMT &\approx 15,011 \\ \end{aligned} {/eq}

So, the payment per quarter is approximately $15,011.

Multiply the payment per quarter by 40 to calculate the total investment made in the fund.

{eq}\begin{aligned} \text{Total investment} &=40(\$15,011) \\ &=\$600,440 \\ \end{aligned} {/eq}

Now, subtract the total investment from the future value to find the interest earned over the life of the fund.

{eq}\begin{aligned} \text{Total interest} &=\$850,000-\$600,440 \\ &=\$249,560 \\ \end{aligned} {/eq}

Consequently, the corporation will earn approximately $249,560 as an interest over the life of the fund.",B,1
38,"A Corp creates a sinking fund in order to have $400,000 to replace machinery in 10 years. How much should be placed in this account at the end of each week if the annual interest rate is 5.4% compounded weekly?

Future Value of Annuity:
The future value of an annuity is the value of a series of payments made on a certain date in the future at a fixed interest rate. The future value gives the value of the series of payments made at a certain date in the future.",$575.67,$585.42,$580.53,$590.35,C,"We're given that A Corp creates a sinking fund to save up $400,000 to replace machinery after 10 years. The annual interest rate is 5.4% compounded weekly.

The amount that needs to be placed in the sinking fund each week will be equal to the annuity payment each week that yields $400,000 after 10 years with an interest rate of 5.4% compounded weekly.

The weekly annuity payment can be determined using the Future Value of Annuity (FVOA) formula:

{eq}\begin{align*} FV &= PMT \dfrac{(1+r)^n -1}{r} \end {align*} {/eq}

where

{eq}FV = {/eq} annuity value in future = $400,000,

{eq}PMT = {/eq} weekly annuity payment that needs to be determined,

{eq}r = {/eq} interest rate per compounding period = {eq}\dfrac{5.4\%}{52} \approx 0.001 {/eq} per year,

{eq}n = {/eq} number of compounding periods = {eq}10 \textrm{ years } \times 52 \textrm { weeks per year } = 520 {/eq} weeks.

Plugging the values into the FVOA formula yields:

{eq}\begin{align*} FV &= PMT \times \dfrac{(1+r)^n -1}{r} \\ \implies PMT &= \dfrac{FV \times r}{(1+r)^n -1} \\ &=\dfrac{\$400,000 \times 0.001}{(1 + 0.001)^{520} -1} \\ &\approx \$580.53 \end {align*} {/eq}

Therefore, the amount that needs to be placed each week in the account for the sinking fund is around $580.53.",A,0
39,"Find the amount needed to deposit into an account today that will yield pension payments of {eq}\displaystyle \$30,000 {/eq} at the end of each of the next {eq}\displaystyle 13 {/eq} years if the account earns interest at a rate of {eq}\displaystyle 6.9\% /yr {/eq} compounded annually. (Round your answer to the nearest cent.)

Annuity:
When studying investment, the annuity becomes the most critical topic to be discussed. It is a series of payments that are paid after certain intervals. In annuities, the deposit date of the amount can be weekly, monthly, yearly, etc. The annuity function helps to evaluate the annuities. To use the annuity function the interest rate, the period, and the present deposited amount or future obtained amount should be known.","$250,000.00","$252,156.87","$255,000.45","$258,789.12",B,"The necessary data are:

The amount that will be found per period (as a pension) is {eq}{P_t} = \$ 30,000. {/eq}
The interest rate is {eq}r = 6.9\%. {/eq}
The number of periods (number of years) is {eq}n = 13{\text{ years}}. {/eq}
Using the annuity formula, the amount needed to deposit today is given by

{eq}\displaystyle P={P}_{t} \left( \dfrac{1-\left( \dfrac{1}{{{\left( 1+r \right)}^{n}}} \right)}r \right) {/eq}

By substituting the necessary values, we can get the amount needed to deposit to get the required pension after 13 years.

{eq}\displaystyle \begin{aligned} P&=\$30,000\left( \dfrac{1-\left( \dfrac{1}{{{\left( 1+0.069 \right)}^{13}}} \right)}{0.069} \right) \\ P&=\$30,000\left( \dfrac{1-\left( 0.42004 \right)}{0.069} \right) \\ P&=\$30,000\left( \dfrac{0.57996}{0.069} \right) \\ P&\approx\$252,156.87 \\ \end{aligned} {/eq}

Hence, the amount needed to deposit into the account today is {eq}\displaystyle \$252,156.87 {/eq}",B,1
40,Find the present value of the ordinary annuity: Payments of $450 made annually for 13 years at 6% compounded annually.,"$4,182.75","$3,772.71","$3,982.28","$3,983.71",D,"Consider the given data.

Fixed payout, {eq}PMT= \$450 {/eq}
Number of years, {eq}n =13 {/eq}
Compounding period is annual, {eq}m =1 {/eq}
Annual Interest rate, {eq}r = 6\% {/eq}
The payment that occurs at the end of the period is called an ordinary annuity. The present value of an annuity is the current value of a series of future payments. The value of the annuity is equal to the sum of the present values of all of the regular payments.

Recall the formula to find the present value of the annuity.

{eq}PV = PMT \left ( \dfrac{{1 - {{\left( {1 + r/m} \right)}^{ - n}}}}{{r/m}} \right ) {/eq}

Substitute the known values in the above equation:

$$\begin{aligned} PV &= PMT \left ( \dfrac{{1 - {{\left( {1 + r/m} \right)}^{ - n}}}}{{r/m}} \right )\\&= 450 \times \left ( \dfrac{{1 - {{\left( {1 + 0.06/1} \right)}^{ -13 }}}}{{{0.06/1}}} \right )\\&=450\left ( \dfrac{1-\left ( 1.06 \right )^{-13}}{0.06} \right )\\&\approx 450\left ( \dfrac{1-0.4688}{0.06} \right )\\&\approx 450\left ( 8.8526 \right )\\ &\approx 3983.71\end{aligned}\\ $$

The present value of the ordinary annuity is approximately {eq}\bf{\$3983.71} {/eq}.",C,0
41,"The state lottery's million-dollar payout provides for $1 million to be paid in 20 installments of $50,000 per payment. The first $50,000 payment is made immediately, and the 19 remaining $50,000 payments occur at the end of each of the next 19 years. If 7 percent is the discount rate, what is the present value of this stream of cash flows?","$566,779.76","$555,000.00","$580,450.00","$573,112.45",A,"Given information:

Annual payment = $50,000
Period = 19 years
Discount rate = 7% and 14%
First payment = $50,000 paid immediately on winning the lottery
Present value is the value of future cash flows discounted at the given discount rates. Here, $50,000 is received immediately, so there is no need to discount this amount; this is the present value. Thus, $50,000 is added to the discounted cashflows to calculate the total present value of cash flow streams.

Calculation of present value of cash flow streams:

A) At a 7% discount rate:

{eq}\begin{aligned} \text{Present}\ \text{value of cash flows} &=\text{First}\ \text{payment}+\text{Annual payment}\times \frac{1-\left( \frac{1}{{{\left( 1+\text{Discount rate} \right)}^{\text{Period}}}} \right)}{\text{Discount rate}} \\ &=\$50,000+\$50,000\times \frac{1-\left( \frac{1}{{{\left( 1+7\% \right)}^{19}}} \right)}{7\%} \\ &=\$50,000+\$50,000\times \frac{1-0.2765083330}{7\%} \\ &=\$50,000+\$50,000\times \frac{0.7234916670}{7\%} \\ &=\$50,000+\$50,000\times 10.3355952 \\ &=\$50,000+\$516,779.76 \\ &=\$566,779.76 \end{aligned} {/eq}",A,1
42,"The state lottery's million-dollar payout provides for $1 million to be paid in 20 installments of $50,000 per payment. The first $50,000 payment is made immediately, and the 19 remaining $50,000 payments occur at the end of each of the next 19 years. If 14 percent is the discount rate, what is the present value of the cash flows?","$370,000.00","$377,518.44","$385,450.12","$395,123.89",B,"Given information:

Annual payment = $50,000
Period = 19 years
Discount rate = 7% and 14%
First payment = $50,000 paid immediately on winning the lottery
Present value is the value of future cash flows discounted at the given discount rates. Here, $50,000 is received immediately, so there is no need to discount this amount; this is the present value. Thus, $50,000 is added to the discounted cashflows to calculate the total present value of cash flow streams.

Calculation of present value of cash flow streams:

At 14% discount rate:

{eq}\begin{aligned} \text{Present}\ \text{value of cash flows} &=\text{First}\ \text{payment}+\text{Annual payment}\times \frac{1-\left( \frac{1}{{{\left( 1+\text{Discount rate} \right)}^{\text{Period}}}} \right)}{\text{Discount rate}} \\ &=\$50,000+\$50,000\times \frac{1-\left( \frac{1}{{{\left( 1+14\% \right)}^{19}}} \right)}{14\%} \\ &=\$50,000+\$50,000\times \frac{1-0.082948364}{14\%} \\ &=\$50,000+\$50,000\times \frac{0.917051636}{14\%} \\ &=\$50,000+\$50,000\times 6.5503688 \\ &=\$50,000+\$327,518.44 \\ &=\$377,518.44 \end{aligned} {/eq}",B,1
43,"How much would you have to invest today to receive $15,000 in 8 years at 10 percent?","$7,000.00","$6,997.61","$6,800.00","$6,950.00",B,"$15,000 in 8 years at 10 percent.

{eq}\begin{aligned} \text{Present}\ \text{value} &=\text{Future}\ \text{value}\times \frac{1}{{{\left( 1+\text{Interest}\ \text{rate} \right)}^{\text{Period}}}} \\ &=\$15,000\times \frac{1}{{{\left( 1+10\% \right)}^{8}}} \\ &=\$15,000\times \frac{1}{2.14358881} \\ &=\$15,000\times 0.46650738 \\ &=\$6,997.61 \end{aligned} {/eq}",B,1
44,"How much would you have to invest today to receive $20,000 in 12 years at 13 percent?","$4,600.00","$4,700.00","$4,614.12","$4,650.00",C,"$20,000 in 12 years at 13 percent.

{eq}\begin{aligned} \text{Present}\ \text{value} &=\text{Future}\ \text{value}\times \frac{1}{{{\left( 1+\text{Interest}\ \text{rate} \right)}^{\text{Period}}}} \\ &=\$20,000\times \frac{1}{{{\left( 1+13\% \right)}^{12}}} \\ &=\$20,000\times \frac{1}{4.3345231002} \\ &=\$20,000\times 0.2307058878 \\ &=\$4,614.12 \end{aligned} {/eq}",C,1
45,"How much would you have to invest today to receive $6,000 each year for 10 years at 9 percent?","$38,500.00","$38,505.95","$38,600.00","$38,550.00",B,"$6,000 each year for 10 years at 9 percent.

{eq}\begin{aligned} \text{Present}\ \text{value} &=\text{Annual payment}\times \frac{1-\left( \frac{1}{{{\left( 1+\text{Interest rate} \right)}^{\text{Period}}}} \right)}{\text{Interest rate}} \\ &=\$6,000\times \frac{1-\left( \frac{1}{{{\left( 1+9\% \right)}^{10}}} \right)}{9\%} \\ &=\$6,000\times \frac{1-0.42241081}{9\%} \\ &=\$6,000\times \frac{0.57758919}{9\%} \\ &=\$6,000\times 6.4176577 \\ &=\$38,505.95 \end{aligned} {/eq}",B,1
46,"How much would you have to invest today to receive $50,000 each year for 50 years at 7 percent?","$690,000.00","$690,037.31","$690,100.00","$690,050.00",B,"$50,000 each year for 50 years at 7 percent.

{eq}\begin{aligned} \text{Present}\ \text{value} &=\text{Annual payment}\times \frac{1-\left( \frac{1}{{{\left( 1+\text{Interest rate} \right)}^{\text{Period}}}} \right)}{\text{Interest rate}} \\ &=\$50,000\times \frac{1-\left( \frac{1}{{{\left( 1+7\% \right)}^{50}}} \right)}{7\%} \\ &=\$50,000\times \frac{1-0.03394776}{7\%} \\ &=\$50,000\times \frac{0.96605224}{7\%} \\ &=\$50,000\times 13.8007462 \\ &=\$690,037.31 \end{aligned} {/eq}",B,1
47,"Mr. Johnson wants to buy an annuity due that will provide him with income of $50,000 per year for six years. The going interest rate is 6.25%.

How much would it cost him to buy the annuity today? (Draw a timeline and show your work.)

Annuity Due:
When the periodic cashflows happen at the beginning of the period, it makes an annuity due. This makes it different from annuity regular where cash flows happen at the end of the period.","$250,000.00","$259,193.50","$265,789.12","$240,000.70",B,"The timeline on an annuity due of $50,000 for six years will be -


The value of the annuity will be it present value.

To calculate the value of the annuity, we will calculate the cumulative present value factor first.

{eq}\text{Cumulative present value factor} = \dfrac{1 - (1 + i)^{-n}}{\frac{i}{1 + i}} {/eq}

where,

i = interest rate

n = number of years

Here,

i = 6.25%

n = 6 years

Putting values, we get -

{eq}\begin{align} \text{Cumulative present value factor} &= \dfrac{1 - (1 + i)^{-n}}{\frac{i}{1 + i}}\\ &= \dfrac{1 - (1 + 0.0625)^{-6}}{\frac{0.0625}{1 + 0.0625}}\\ &= \dfrac{1 - (1.0625)^{-6}}{\frac{0.0625}{1.0625}}\\ &= 5.18387\\ \end{align} {/eq}

So, the value of annuity today will be $50,000 X 5.18387 = $259,193.50

Hence, it would cost Mr, Johnson $259,193.50 to buy an annuity due that will provide him with an income of $50,000 per year for six years at an interest rate of 6.25%.",C,0
48,"Find the amount needed to deposit into an account today that will yield pension payments of {eq}\displaystyle \$30,000 {/eq} at the end of each of the next {eq}\displaystyle 13 {/eq} years if the account earns interest at a rate of {eq}\displaystyle 6.9\% /yr {/eq} compounded annually. (Round your answer to the nearest cent.)

Annuity:
When studying investment, the annuity becomes the most critical topic to be discussed. It is a series of payments that are paid after certain intervals. In annuities, the deposit date of the amount can be weekly, monthly, yearly, etc. The annuity function helps to evaluate the annuities. To use the annuity function the interest rate, the period, and the present deposited amount or future obtained amount should be known.","$250,000.00","$248,500.75","$252,156.87","$254,789.12",C,"The necessary data are:

The amount that will be found per period (as a pension) is {eq}{P_t} = \$ 30,000. {/eq}
The interest rate is {eq}r = 6.9\%. {/eq}
The number of periods (number of years) is {eq}n = 13{\text{ years}}. {/eq}
Using the annuity formula, the amount needed to deposit today is given by

{eq}\displaystyle P={P}_{t} \left( \dfrac{1-\left( \dfrac{1}{{{\left( 1+r \right)}^{n}}} \right)}r \right) {/eq}

By substituting the necessary values, we can get the amount needed to deposit to get the required pension after 13 years.

{eq}\displaystyle \begin{aligned} P&=\$30,000\left( \dfrac{1-\left( \dfrac{1}{{{\left( 1+0.069 \right)}^{13}}} \right)}{0.069} \right) \\ P&=\$30,000\left( \dfrac{1-\left( 0.42004 \right)}{0.069} \right) \\ P&=\$30,000\left( \dfrac{0.57996}{0.069} \right) \\ P&\approx\$252,156.87 \\ \end{aligned} {/eq}

Hence, the amount needed to deposit into the account today is {eq}\displaystyle \$252,156.87 {/eq}",C,1
49,"You want to be able to withdraw $45,000 each year for 30 years. Your account earns 10% interest.

How much do you need in your account at the beginning?","$400,000.00","$450,000.00","$424,211.15","$430,500.75",C,"The formula for the present value of an annuity is

{eq}\ \ \ \ \ P = R \left[ \dfrac{1 - (1 + i)^{-n}}{i} \right] {/eq},

where {eq}P {/eq} is the present value, {eq}R {/eq} is the regular payment, {eq}i {/eq} is the periodic interest rate, and {eq}n {/eq} is the total number of payments.



We assume that the interest will be compounded annually over the 30 year period.

Then for this account, we have:

{eq}\ \ \ \ \ R = 45,000, \ \ \ i = 0.10/1 = 0.10, \ \ \ n = (30)(1) = 30 {/eq}

Thus the present value formula yields the amount needed at the start:

{eq}\ \ \ \ \ P = 45,000 \left[ \dfrac{1 - (1 + 0.10)^{-30}}{0.10} \right] = \$424,211.15 {/eq}.",C,1
50,"You want to be able to withdraw $45,000 each year for 30 years. Your account earns 10% interest.


How much total money will you pull out of the account?","$1,350,000.00","$1,300,000.00","$1,320,000.00","$1,375,000.00",A,"The formula for the present value of an annuity is

{eq}\ \ \ \ \ P = R \left[ \dfrac{1 - (1 + i)^{-n}}{i} \right] {/eq},

where {eq}P {/eq} is the present value, {eq}R {/eq} is the regular payment, {eq}i {/eq} is the periodic interest rate, and {eq}n {/eq} is the total number of payments.

The total amount that will be withdrawn over the 30 years is

{eq}\ \ \ \ \ (45,000)(30) = \$1,350,000.00 {/eq}.",A,1
