id,question,A,B,C,D,answer,explanation,hint,guess,reasoning
249,The difference between an investment's market value and its cost is called the _____.,discounted cash flow,net present value,average accounting return,probability index,A,"a. Incorrect. Discounted cash flow (DCF) is a valuation method to estimate the present value of an investment.
b. Correct. The net present value is the difference between an investment's present value and its cash outlays.
c. Incorrect. Average accounting return is the rate of return on investment. This metric ignores the effect of the time value of money.
d. Incorrect. The profitability index (PI) measures the relationship between the present value of an investment and its cash outlays. Ideally, this ratio should be greater than 1.","Capital Budgeting Decision: A capital budgeting decision will declare whether a new project should be operated with all available resources. In practice, a firm will analyze a project by a set of capital budgeting approaches to ensure a consistent decision.",B,
250,The firm should accept independent projects if:,the payback is less than the IRR,the profitability index is greater than 1.0,the IRR is positive,the NPV is greater than the discounted payback,B,"The correct answer is option
B. the profitability index is greater than 1.0
.
As per the decision rule for the IRR method, a project can be accepted if the calculated IRR is greater than the cost of capital.
As per the NPV method, a project can be accepted if the calculated NPV is positive.
As per the profitability index method, a project can be accepted if the calculated profitability index is greater than 1.
As per the discount payback period and cash payback period methods, a project can be accepted if these periods are less than the time horizon available to the investors.","Capital Budgeting Techniques: In finance, there are various capital budgeting methods used to evaluate the available investment alternatives or projects. For mutually exclusive projects, the net present value (NPV) is usually preferred over methods like the internal rate of return (IRR) method.",B,
251,The following are the cash flows of the two projects:,"If the opportunity cost of capital is 11%, what is the profitability index for each project?",Does the profitability index rank the projects correctly?,,,A,"a)	Calculation of Profitability Index:
Project A:
Particulars
Year 0
Year 1
Year 2
Year 3
Year 4
Cash flows
-$350
$180
$180
$180
$180
Discount Factor
0.9009
0.8116
0.7312
0.6587
Discounted Cashflows = Cashflows x Discount Factor
$162.16
$146.08
$131.61
$118.56
{eq}\begin{align*}

{\rm{Profitability}}\,{\rm{Index}}\, &= \,\dfrac{{{\rm{Sum}}\,{\rm{of}}\,{\rm{Discounted}}\,{\rm{Cashflows}}}}{{{\rm{Initial}}\,{\rm{Investment}}}}\\

&= \dfrac{{\$ 162.16 + \$ 146.08 + \$ 131.61 + \$ 118.56}}{{\$ 350}}\\

&= \dfrac{{\$ 558.41}}{{\$ 350}}\\

&= 1.59

\end{align*}

{/eq}
The profitability index for Project A is 1.59.
Project B:
Particulars
Year 0
Year 1
Year 2
Year 3
Cash flows
-$350
$250
$250
$250
Discount Factor
0.9009
0.8116
0.7312
Discounted Cashflows = Cashflows x Discount Factor
$225.22
$202.90
$182.80
{eq}\begin{align*}

{\rm{Profitability}}\,{\rm{Index}}\, &= \dfrac{{\$ 225.22 + \$ 202.09 + \$ 182.80}}{{\$ 350}}\\

&= \dfrac{{\$ 610.11}}{{\$ 350}}\\

&= 1.74

\end{align*}

{/eq}
The profitability index for project B is 1.74.
b)	The profitability index ranks the projects correctly as it considers the present values of future cash flows of each project and the initial investment required.
Working Notes:
Calculation of Discount Factors for Years 1, 2, 3 and 4:
{eq}\begin{align*}

{\rm{Discount}}\,{\rm{Factor}}\,{\rm{for}}\,{\rm{Year}}\,{\rm{1}}\, &= \,\dfrac{1}{{{{\left( {1\, + \,{\rm{Opportunity}}\,{\rm{Cost}}\,{\rm{of}}\,{\rm{Capital}}} \right)}^{{\rm{Year}}}}}}\\

&= \dfrac{1}{{{{\left( {1 + 11\% } \right)}^1}}}= 0.9009

\end{align*}

{/eq}
{eq}\begin{align*}

{\rm{Discount}}\,{\rm{Factor}}\,{\rm{for}}\,{\rm{Year}}\,2\, = \dfrac{1}{{{{\left( {1 + 11\% } \right)}^2}}} = 0.8116

\end{align*}

{/eq}
{eq}\begin{align*}

{\rm{Discount}}\,{\rm{Factor}}\,{\rm{for}}\,{\rm{Year}}\,3\, = \dfrac{1}{{{{\left( {1 + 11\% } \right)}^3}}}= 0.7312

\end{align*}

{/eq}
{eq}\begin{align*}

{\rm{Discount}}\,{\rm{Factor}}\,{\rm{for}}\,{\rm{Year}}\,4\, = \dfrac{1}{{{{\left( {1 + 11\% } \right)}^4}}}= 0.6587

\end{align*}

{/eq}",Profitability Index: The Profitability Index (PI) is one of the major techniques used to decide the viability of an investment. The PI indicates the number of times that the investment will create value.,A,
252,The internal rate of return and net present value methods _____.,always give the same investment decision answer,never give the same investment decision answer,usually give the same investment decision answer,always give answers different from the payback method,C,"The correct answer is option
c. usually give the same investment decision answer
.
The net present value (NPV) method yields the net value added to the wealth of investors if a project is executed. On the other hand, the internal rate of return is the discount rate for which the net present value is zero.
As per the decision criteria, a project is accepted if the net present value is positive or the internal rate of return is more than the cost of capital. Usually, these methods give the investment decision answer but when the signage of cash flows keeps on changing, the investment decision answers could be different.","Capital Budgeting Techniques: Capital budgeting techniques such as the net present value method, internal rate of return method, and cash payback period method are used to assess the available investment alternatives. For mutually exclusive projects, the net present value method is usually preferred over other methods.",C,
253,"When evaluating Capital Budgeting decisions, which of the following items should not be included in the construction of cash flow projections for purposes of analysis?",Land and building expenses,Net salvage value,Changes in net working capital requirements,All of the above should be included.,D,"The answer is
d. All of the above should be included.
For capital budgeting analysis, all related cash flows should be included.
The land and building expenses should be accounted for since these expenses will reduce the project's profit.
The net salvage value of the asset should be included since it is an additional cash inflow at the termination of the project.
A change in working capital will affect the project's cash flows, which should be also included in the initial cash flows.","Capital Budgeting: The capital budgeting process is necessary for a business to analyze feasibility of a new project. There are some common methods: net present value (NPV), internal rate of return (IRR), profitability index (PI), etc.",D,
254,"When making capital budgeting decisions for a firm, the average net income divided by the average book value equals the _____.",average accounting return,net present value,internal rate of return,project cash flow,A,"The correct option is  a. average accounting return:
Accounting Return: The average accounting return (AAR) is calculated by dividing the average net earnings (after taxes and depreciation) by the average book value of the investment over its life.
For Example
PARTICULARS
NET INCOME
Year 1. (A)
$10,000
Year 2. (B)
$15,000
Year 3. (C)
$20,000
Average income (A+B+C)/3
$45,000
Opening value of investment  (D)
$170,000
Closing book value (E)
$190,000
Average value of investment = (D+E)/2
$180,000
{eq}\begin{align*}

\text{Average Accounting Return} &=\frac{\text{Average income}}{\text{Average returns}} \\

&=\frac{\$45,000}{\text{\$180,000}} \\

&=\text{0.25 or 25%}\\

\end {align*}

{/eq}","Capital budgeting Using the accounting principle of capital budgeting, businesses choose which projects to fund because not all investment opportunities will be profitable. Capital budgeting is used by businesses to create a quantitative assessment of each asset and investment, and it offers a sound basis for developing opinions or judgments. Companies may have a limited amount of resources available for project development, thus it is crucial that they carefully consider the capital investment needed and the value they anticipate receiving.",A,
255,Which of the following investment rules has value-adding-up property?,The payback period method,Net present value method,The book rate of return method,The internal rate of return method,B,"The answer is
B. Net present value method
A. Incorrect. The payback period measures the length of time to recoup a project's initial cash outlay.
B. Correct. The net present value method determines the difference between the present value of expected cash flows and the required cash outlays. Alternatively, it represents the potential value added if the project is accepted.
C. Incorrect. The book rate of return is a rate of return that is computed by using the accounting profit. It will not represent any value added by the project.
D. Incorrect. The internal rate of return method measures a rate of return that equates the present value of expected cash flows with the initial investment costs.","Capital Budgeting: Within a business, a consistent capital budgeting procedure is an essential management tool that guides the firm's managers in selecting a profitable investment. Generally, a firm can practice different capital budgeting methods to gain an overall assessment of new investments.",B,
256,Which of the following is the most reliable method for making capital budgeting decisions?,ROR method,Post-audit method,NPV method,Payback method,C,"The answer is c. NPV method.
a. Incorrect. This method ignores the change in value of money in the future.
b. Incorrect. This method evaluate a project's outcome. It is not relevant for a decision-making analysis.
c. Correct. The NPV method considers the time value of money, which determines the potential value-added of a project. Alternatively, this method indicates how much profit a project will contribute tot the entire firm with a respect to the time value of money. Thus, it would be more reliable to make an investment decision according to the outcome from this model.
d. Incorrect. The payback period ignores the time value of money. In addition, it ignores all cash flows after the cutoff point.","Capital Budgeting: A relevant capital budgeting procedure will help a firm in making profitable investment decisions. In practice, a firm should implement a set of different capital budgeting methods to evaluate a potential project.",C,
257,Which of the following methods does not consider the investment's profitability?,ROR,Payback,NPV,IRR,B,"The answer is
b. Payback.
The payback period will determine the length of time to recover an investment 's initial costs. It ignores all cash flows after the cutoff point. Alternatively, this method does not consider both short-term and long-term profitability.
Apart from the payback period approach, the other three methods (ROR, NPV and IRR) evaluate all cash flows incurred during the entire life of the project. The assessment of the project 's profitability is concentrated by analysts since the investment decision will be made according to the project's potential profit or its expected rate of return.","Capital Budgeting: Within a firm, a consistent capital budgeting process is necessary to execute profitable investments. Thus, the firm can achieve its long-term financial goal. Otherwise, the firm will lose its capital for inefficient projects.",B,
258,Which of the following needs to be excluded while we calculate the incremental cash flows?,Depreciation.,Sunk cost.,Opportunity cost.,Non-cash item.,A,"a. Incorrect. Depreciation is a non-cash expense, which should be added back to the project's cash flows.
b. Correct. Sunk costs are expenses that occur before an investment decision. A sunk cost cannot be recovered.
c. Incorrect. Opportunity cost should be considered in a capital budgeting analysis since it reflects the potential foregone profit by taking the existing investment.
d. Incorrect. Non-cash items will not incur any cash transactions. Hence, it should be included in the investment's cash flows.","Capital Budgeting Analysis: The capital budgeting analysis guides the firm to evaluate new investments. In practice, there are some common capital budgeting approaches net present value (NPV), internal rate of return (IRR), discounted payback period, etc.",B,
259,Which one of the following projects should you accept?,A project with an IRR of 12.7 percent and a required return of 13 percent.,A project with an NPV of -$121.21.,A project with a PI of 1.03.,A project with an AAR of 13.8 percent and a required AAR of 14 percent.,C,"The correct answer is option
C. A project with a PI of 1.03.
If a project has a PI (profitability index) of more than 1, it can be accepted.
If a project has an NPV (net present value) of more than 0, it can be accepted.
If the calculated IRR (internal rate of return) of a project is more than the required return, it can be accepted.
If the calculated ARR (accounting rate of return) of a project is more than the required ARR, it can be accepted.","Capital Budgeting Techniques: Capital budgeting techniques are used to assess all the available investment alternatives and choose the most profitable one. Examples of these techniques are the net present value method, internal rate of return method, profitability index method, and accounting rate of return method.",C,
483,A cash purchase is similar to a capital budgeting decision.,True,False,,,B,"The correct answer is
b. false.
Explanation:
A cash purchase refers to obtaining items with prompt payment in cash. Businesses choose to make a cash purchase when the supplier offers a huge discount or there is a saving in opportunity costs.
A capital budgeting decision (CBD) refers to analyzing an investment opportunity. The capital budgeting process includes various steps such as identification of available investment opportunities, gathering all the information about available opportunities; analyzing opportunities with different techniques such as NPV, payback method, IRR, and so on, and selecting the most feasible opportunity.
Thus, cash purchase is not similar to CBD as cash purchase requires much less time than capital budgeting decisions and the objectives of cash purchase and CBD are different.","Purchase Order: The purchasing department of a business furnishes a report while placing an order. This report indicates the details of items to be obtained, such as types of products, volume, and cost. This sort of report is known as a ""purchase order.""",B,
484,Cash outflows generated by capital investments include all of the following except:,depreciation expense.,increase in the required amount of working capital.,transportation costs.,increased operating expenses.,A,"Cash outflows generated by capital investments include all of the following except
a. depreciation expense
. The depreciation expense is an accounting expense that is never paid in cash and therefore it is not part of the cash outflows generated by a proposed capital project.
The initial cost of the investment, any resulting increase in the required amount of working capital, transportation costs, and the increase in annual operating expenses are all cash outflows that must be considered when determining the net cash inflow or outflow for each year of the project's useful life.",Capital Budgeting: Capital investment decisions usually involve large amounts and they have a long-term effect on the operations and profits of the investor. The financial impact of these decisions is therefore analyzed using various techniques.,A,
485,"Park Co. is considering an investment that requires immediate payment of $37,500 and provides expected cash inflows of $10,600 annually for four years. If Park Co. requires a 5% return on its investments.",What is the net present value of this investment?,"Based on NPV alone, should Park Co. invest?",,,A,"A) Park Co's investment's net present value is $87.08.
Explanation:
The first step is to determine the present value of cash flows:
{eq}PV_{oa}=A×\frac{1-(1+r)^{-n}}{r}\\

PV_{oa}=$10,600 ×\frac{1\,-\,(1\,+\,0.05)^{-4}}{0.05}\\

PV_{oa}=$10,600 ×3.5459505\\

PV_{oa}= \,$37,587.08

{/eq}
Where,
{eq}PV_{oa} = \text{Present Value of ordinary annuity}\\

A = \text{Amount of annuity payment}\\

r = \text{interest rate}\\

n = \text{number of time periods}\\

{/eq}
The next step is to determine the net present value:
Net present value = Present value of cash inflow - Investment cost
Net present value = $37,587.08 - $37,500
Net present value = $87.08
B) Park Co. should invest as the net present value is positive.",Net Present Value: The net present value method is a tool used under capital budgeting to determine the profitability of an investment using the time value of money. A project should not be accepted if the net present worth is negative.,B,
486,Roger is considering the expansion of his business into a property he purchased two years ago. Which of the following items should not be included in the analysis of this expansion?,"Roger can lease the property to another company for $12,000 per year.",Costs of hiring additional staff.,"The property was extensively renovated last year at a cost of $15,000.",The expansion will result in a slight increase of inventory carried.,C,"The answer is
option C.
The $15,000 cost of the renovation last year is not relevant to the analysis because it was already incurred in the past and will not affect the future decision. It is a sunk cost.
A. It is an additional source of income for the company and will reduce future costs.
B. The costs of hiring will be added if the business is expanded. So, it must be included in the analysis.
D. Increase in inventory is an additional cost, so it must be included.","Capital Budgeting: When analyzing a particular capital investment, the company needs to consider the necessary costs and other relevant cash flows when the project is accepted.",C,
487,"What will be the nominal rate of return on a perpetual preferred stock with a $100 par value, a stated dividend of 7% of par, and a current market price of:",$68.00,$78.00,$116.00,$147.00,A,"Calculation of dividend$$\begin{align*}

{\rm\text{Dividend}} &= {\rm\text{Market value}} \times {\rm\text{Rate of return}}\\

&= \$ 100 \times 7\% \\

&= \$ 7

\end{align*}

$$
Therefore at different market prices, the nominal rate of return will be:
(a)At current market price of $68.00
$$\begin{align*}

{\rm\text{Rate of return}} &= \frac{{{\rm\text{Dividend}}}}{{{\rm\text{Market price}}}} \times 100\\

&= \frac{{\$ 7}}{{\$ 68}} \times 100\\

&= 10.29\%

\end{align*}

$$
(b)At current market price of $78.00
$$\begin{align*}

{\rm\text{Rate of return}} &= \frac{{{\rm\text{Dividend}}}}{{{\rm\text{Market price}}}} \times 100\\

&= \frac{{\$ 7}}{{\$ 78}} \times 100\\

&= 8.97\%

\end{align*}

$$
(c)At current market price of $116.00
$$\begin{align*}

{\rm\text{Rate of return}} &= \frac{{{\rm\text{Dividend}}}}{{{\rm\text{Market price}}}} \times 100\\

&= \frac{{\$ 7}}{{\$ 116}} \times 100\\

&= 6.03\%

\end{align*}

$$
(d)At current market price of $147.00
$$\begin{align*}

{\rm\text{Rate of return}} &= \frac{{{\rm\text{Dividend}}}}{{{\rm\text{Market price}}}} \times 100\\

&= \frac{{\$ 7}}{{\$ 147}} \times 100\\

&= 4.76\%

\end{align*}

$$","Preferred stock A component of share capital known as preferred stock is often regarded as a hybrid instrument since it might have any combination of characteristics that common stock does not, including characteristics of both an equity and a debt instrument.",B,
488,Which of the following methods of analyzing capital investments factors in the time value of money?,Payback period.,Internal rate of return.,Accounting rate of return.,All of the above methods factor in the time value of money.,A,"The correct option is
B
.
Internal rate of return is one of the discounted approaches of capital budgeting, which is used to calculate the expected rate of return, at which NPV becomes zero. In this approach, future cash flows are discounted by considering the time value of money.
Explanations for incorrect options:
Option (A) is incorrect as the payback period does not consider the time value of money.
Option (C) is incorrect as the accounting rate of return does not consider the time value of money.
Option (D) is incorrect as only the internal rate of return factors the time value of money, and the payback period and accounting rate of return don't.",Capital budgeting Capital budgeting is one of the financial tools which exhibits whether to accept or reject investment proposals. It includes both discounted approach and a non-discounted approach for the appraisal of the investments.,B,
