id,question,A,B,C,D,answer,expanation,hint,guess,reasoning,baseline_guess
34,The adjustment for bad debts using the percentage of receivables ignored the credit balance in the Allowance account. This error would cause:,total assets to be overstated.,total liabilities to be understated.,none of these is correct.,net income to be understated.,D,"The correct option is d. net income to be understated.

Under the percentage of receivables method, the uncollectible amount included in accounts receivable is estimated and the Allowance for Doubtful Accounts account is adjusted to that amount. For example, if the estimated uncollectible amount is calculated to be $25,000 and the unadjusted balance of the allowance account is $3,000 credit, the adjusting entry would increase the bad debt expense by $22,000 and credit the allowance account with $22,000.

If the credit balance is ignored, the adjusting would have been processed for $25,000 and this would cause:

Total assets to be understated because the allowance account is overstated and that would cause the net accounts receivable to be understated
Net income to be understated because the bad debt expense is overstated and expenses decrease the net income.
The error has no effect on total liabilities.","The percentage-of-receivables method is one approach used to account for the bad debt expense under the allowance method. Under this method, the net realizable amount for accounts receivable is estimated and the bad debt expense is based on the adjustment required.",,,A
35,The current balance of Allowance for Doubtful Accounts is considered when calculating the current period's Bad Debts Expense under the following approach:,Income statement approach.,Direct write-off method.,All of these answers are correct.,Balance sheet approach.,D,"The correct answer is d. Balance sheet approach.

It is under the balance sheet approach that the current balance in the Allowance account before adjustment is considered. The estimated bad debts expense will be calculated as follows:

Estimated bad debts = Amount determined to be uncollectible + Debit balance in the Allowance account.
Note:

A credit balance in the Allowance account will be deducted.

Other options are incorrect for the following reasons:

Options	Reasoning
a. Income statement approach.	Income statement approach ignores the current balance in the Allowance account before adjustment.
b. Direct write-off method.	The direct write-off method doesn't use the Allowance account.
c. All of these answers are correct.	Option d) alone is correct.",The allowance method is useful in determining the bad debts to be recorded for the period. The allowance method estimates the expense and adjusts the provision when the actual bad debts are incurred.,,,D
36,"Using the aging method, estimated uncollectible accounts are $3,000. If the balance in the Allowance for Doubtful Accounts is a $600 debit before adjustment, what is the Bad Debts Expense adjustment for the period?","$3,600","$2,400","$3,000",$600,A,"The correct answer is a. $3,600.

The bad debts expense adjustment for the period under the aging of receivables method can be calculated using the following inputs:

Estimated amount of receivables uncollectible = $3,000
Unadjusted debit balance in the Allowance account = $600
Upon a logical arrangement of these inputs, we have the following outcome:

Bad Debts Expense = Estimated amount of receivables uncollectible + Unadjusted debit balance in the Allowance account
Bad Debts Expense = $3,000 + $600
Bad Debts Expense = $3,600
The entry to record the estimated bad debts expense is made below:

Date	Account Title	Debit	Credit
Bad Debts Expense	$3,600	
Allowance for Doubtful Accounts		$3,600
The debit balance in the Allowance account changes to the credit balance after recording this entry.",The aging of receivables method involves categorizing accounts receivable based on the time length for which they have been outstanding and estimating the probability of collecting payment for each category.,,,A
37,When an account is written off using the allowance method:,Shareholders equity will be reduced.,Net income for the period will be reduced.,None of these statements are true.,The net realizable value of accounts receivable will be reduced.,D,"The correct answer is d. The net realizable value of accounts receivable will be reduced.

We need to record the journal entry to understand the effect of a write-off:

Date	Account Title	Debit	Credit
Allowance for Doubtful Accounts	$XX	
Accounts Receivable		$XX
The balance in the Allowance account decreases with a debit entry, and the customer account determined to be uncollectible is closed with a credit entry. As a result, the net realizable value of receivables will reduce.

Other options are incorrect for the following reasons:

Answer Options	Explanation
a. Shareholders' equity will be reduced.	The write-off entry doesn't directly impact the stockholders' equity.
b. Net income for the period will be reduced.	The balance sheet accounts alone are affected by the write-off.
c. None of these statements are true.	Option d) is correct.",The allowance method estimates the bad debts expense before its incurrence. The idea behind creating a provision is to help the business prepare for bad debts when they incur them. Bad debts occur when customers default on their payments.,,,C
38,"When using the percentage of accounts receivable method of estimating uncollectible accounts, any existing balance in Allowance for Uncollectible Accounts is ignored.",TRUE,FALSE,,,B,"The statement is ii. False.

Let's see the table below to get a clear picture of how the Allowance account is treated by various methods:

Method	Treatment of Allowance balance before adjustment
Percentage of credit sales	Ignores the unadjusted allowance account balance in determining the estimated bad debts.
Percentage of accounts receivable	Considers the unadjusted allowance account balance in determining the estimated bad debts.
Aging of accounts receivable	Considers the unadjusted allowance account balance in determining the estimated bad debts.","Uncollectible accounts occur from the sale of goods on a credit basis. Credit sales allow customers to make payments at a later date, which gives them the scope to default on their payments. Bad debts are losses that reduce the net income for the period.",,,B
39,Which financial statement would contain the following account balance: Allowance for doubtful accounts?,Balance Sheet,Income Statement,Statement of Owners' Equity,,B,"The correct answer is a. Balance Sheet

When the allowance method is used to account for bad debts expense, the estimated uncollectible account is transferred to a provision called the ""Allowance for Doubtful Debts"" account. It represents a contra-asset account reported on the balance sheet. The purpose of the account is to report the accounts receivable at their net realizable value.

Other options are incorrect for the following reasons:

Answer Options	Explanation
b. Income Statement	Income statement reports the bad debts expense.
c. Statement of Owners' Equity	The statement of owner's equity doesn't report the allowance account.
",Bad debts incur when the business fails to convert receivables into cash. Bad debts impact the net profit of the business. One can record bad debts through estimation or by waiting for the loss to incur for the period.,,,A
40,Which of the following is not an attribute of the Allowance for Uncollectible Accounts?,It is a contra account.,It is on the asset side of the balance sheet.,It normally has a credit balance.,The balance in the account increases when an uncollectible account is written off.,D,"The correct answer is d. The balance in the account increases when an uncollectible account is written off.

When an uncollectible account is written off, the following entry is recorded.

Date        Account Title        Debit        Credit
Allowance for Doubtful Accounts        $XX        
Accounts Receivable                $XX'
This entry shows how the balance in the Allowance account is used to compensate for the account write-off. When the Allowance account is used, its balance decreases.

The following answer options are all characteristics of the Allowance account and are therefore incorrect.

a. It is a contra account.
b. It is on the asset side of the balance sheet.
c. It normally has a credit balance. ","Generally Accepted Accounting Principles (GAAP) don't permit the use of the direct write-off method, which is one reason, why companies should use the allowance method to estimate the bad debts resulting from credit sales. Three approaches are defined under the allowance method.",,,D
41,Which of the following is true of the Allowance for Uncollectible Accounts account?,"It is a ""nominal"" or income statement account.",It is a contra-revenue account.,It may have a debit balance at year-end following the adjustment for estimated uncollectible accounts receivable.,Its balance following the year-end adjustment should reflect an estimate of the amount of ending accounts receivable that will ultimately prove to be uncollectible.,D,"The correct answer is d. Its balance following the year-end adjustment should reflect an estimate of the amount of ending accounts receivable that will ultimately prove to be uncollectible.

Allowance for Uncollectible Accounts, also known as Allowance for Doubtful Accounts, is a contra-asset account offsetting the Accounts Receivable account. Its purpose is to reflect the estimated amount of accounts receivable the company does not expect to collect, thus providing a more accurate representation of the collectible receivables in the financial statements. The balance in this account is adjusted at year-end based on the company's estimation of uncollectible accounts.

Incorrect Options

a. It is a ""nominal"" or income statement account. : An allowance for an uncollectible account is a permanent account located in the balance sheet.
b. It is a contra-revenue account. : An allowance for an uncollectible account is a contra-asset account, not a contra-revenue account.
c. It may have a debit balance at year-end following the adjustment for estimated uncollectible accounts receivable. : An allowance for doubtful accounts has a credit balance account, hence considered a contra-asset account.
","Bad debts in accounting are unpaid balances on accounts receivable or loans that are no longer expected to be collected due to debtor's inability or unwillingness to pay, caused by financial difficulties, bankruptcy, fraud, or disputes.",,,D
42,"A company writes off a specific account as uncollectible, but later the customer pays. The journal entry to record the reinstatement under the allowance method includes a(n):",decrease in Sales.,decrease Bad Debts Expenses.,increase to Allowance for Doubtful Accounts.,decrease to Cash.,C,"The correct answer is c. increase to Allowance for Doubtful Accounts.

The journal entry to record the reinstatement under the allowance method is given below:

Date        Account Title        Debit        Credit
Accounts Receivable        $XX        
Allowance for Doubtful Accounts                $XX
The entry indicates an increase in the Allowance and Accounts Receivable accounts to nullify the effect of the write-off.

Other options are incorrect for the following reasons:

Options        Reasoning
a. decrease in Sales.        A write-off entry does not directly impact sales.
b. decrease Bad Debts Expenses.        Bad debts decrease only in case of reinstatement under the direct method.
d. decrease to Cash.        Cash is not involved in a write-off entry.","Credit and cash sales are the two ways a company can sell goods and services. Credit sales involve bad debt risk because customers can default on the due date, while cash sales are pretty straight.",,,C
43,"In the direct write-off method, writing off an account causes:",an increase in expense.,an increase in Accounts Receivable.,a decrease in the Allowance account.,a decrease in expense.,A,"The correct answer is a. an increase in expense .

Let's first record the write-off of an account under the direct method:

Date	Account Title	Debit	Credit
Bad Debts Expense	$XX	
Accountd Receivable		$XX
The expenses are recorded with a debit entry to the Bad Debts Expense, and the customer account is closed with a credit to Accounts Receivable.

Other options are incorrect for the following reasons:

Options	Reasoning
b. an increase in Accounts Receivable.	Accounts Receivable decrease when written off.
c. a decrease in the Allowance account.	Allowance account is not used under the direct method.
d. a decrease in expense.	The expense increases with a debit entry, and bad debts are expenses.
",We consider debtors bad when they default on credit sales payments to be made on the due date. Bad debts force the company to rethink the management of receivables and ways to improve.,,,A
44,Pittsburgh Tours collected $190 on an account that had been directly written off the previous year. The journal entry to record the transaction would include:,a credit to Bad Debts Expense.,a debit to Bad Debts Recovered.,a credit to Bad Debts Recovered.,a debit to Allowance for Doubtful Accounts.,A,"The correct answer is a. a credit to Bad Debts Expense.

Pittsburgh Tours uses the direct write-off method to account for bad debts. It has already written down an account worth $190 in the previous year, which is collected in the current year. Two steps should be followed to record the collection:

Reinstatement of the accounts written off:

Date	Account Title	Debit	Credit
Accounts Receivable	$190	
Bad Debts Expense		$190
The entry brings back the accounts to their respective balances before write-off.

Collection of receivables:

Date	Account Title	Debit	Credit
Cash	$190	
Accounts Receivable		$190
The entry records the collection of receivables.","Bad debts refer to the losses incurred due to the failure of the business to collect credit sales from the customers. Those accounts must be closed, and losses should be recorded in the income statement in the name of bad debts.",,,C
45,"The Allowance for Bad Debts has a credit balance of $3,000 at the end of the year before adjustment, and a ""percent of sales"" estimate indicates there are accounts that are uncollectible of $9,000. Which of the following adjusting entries would correctly record the adjustment to Allowance for Bad Debts?",no adjustment is required for the allowance method.,"debit Allowance for Bad Debts, $9,000; credit Bad Debt Expense, $9,000.","debit Bad Debt Expense, $9,000; credit Allowance for Bad Debts, $9,000.","debit Bad Debt Expense, $12,000; credit Allowance for Bad Debts, $12,000.",C,"The correct answer is c. debit Bad Debt Expense, $9,000; credit Allowance for Bad Debts, $9,000.

Under the percent of sales method of estimating bad debts, the balance in the Allowance for Bad Debts account before adjustment, whether debit or credit, will not be included in calculating the bad debts.

The uncollectible accounts for the period are estimated to be $9,000. The current balance of $3,000 in the allowance account will not be adjusted.

The adjusting entry to record bad debts is recorded below:

Date	Account Title	Debit	Credit
December	Bad Debt Expense	$9,000	
Allowance for Bad Debts		$9,000
The expense for the period is recorded with a debit entry, and a contra-asset account increases with a credit entry.","The allowance method requires estimating bad debts using credit sales or the balance in the receivables account. The former is also called the income statement approach, and the latter is called the balance sheet approach.",,,C
46,The direct write-off method for uncollectible accounts receivable:,is considered to follow Generally Accepted Accounting Principles,estimates uncollectible accounts as a percentage of sales,does not use an Allowance for Uncollectible Accounts,reports receivables at their net realizable value,C,"The correct answer is C. does not use an Allowance for Uncollectible Accounts.

The direct write-off method for uncollectible accounts receivable involves writing off specific accounts deemed uncollectible without using an Allowance for Uncollectible Accounts or estimating bad debts. However, this method does not follow Generally Accepted Accounting Principles (GAAP) as it does not comply with the matching principle. It means bad debt expenses are only recorded when they occur rather than when the related revenues are earned.

The other answers are incorrect.

A. is considered to follow Generally Accepted Accounting Principles: Under the Generally Accepted Accounting Principles, the allowance method is required, not the direct write-off method.
B. estimates uncollectible accounts as a percentage of sales: This option is incorrect because it refers to the allowance method, not the direct write-off method.
D. reports receivables at their net realizable value: The direct write-off method does not use an allowance account and does not report receivables at their net realizable value.
",Businesses use either the Direct Write-Off Method or the Allowance Method to deal with bad debts. The Generally Accepted Accounting Principles require the use of the Allowance Method.,,,C
47,The journal entry to write off an account judged to be uncollectible under the allowance would include a credit to:,Bad Debts Expense.,Sales.,Allowance for Doubtful Accounts.,Accounts Receivable.,D,"The correct answer is d. Accounts Receivable.

When the business uses the allowance method of bad debts expense, the recording of bad debts and write-offs will involve the following accounts:

Date	Account Title	Debit	Credit
Bad Debts Expense	$XX	
Allowance for Doubtful Accounts		$XX
This entry reports the estimated amount uncollectible during the period.

Date	Account Title	Debit	Credit
Allowance for Doubtful Accounts	$XX	
Accounts Receivable		$XX
This entry records the write-off of an account determined to be uncollectible.",Credit sales of the business are risky when it comes to the collection of sales made on account to customers. There's always a possibility that customers can default on their payments on the due date.,,,D
48,The two methods of accounting for uncollectible receivables are the allowance method and the:,equity method.,interest method.,cost method.,direct write-off method.,D,"The correct answer is d. direct write-off method.

Options	Reasoning
a. equity method.	Equity method is used to record investments with significant influence. It is not related to the calculation of bad debts.
b. interest method.	There is no such method as an interest method used to calculate bad debts.
c. cost method.	Cost method is also used to record investments and is unrelated to the bad debts computation.
d. direct write-off method.	Other than the allowance method, the business can use the direct write-off method to determine bad debt expense. The former is again split into three types: the balance sheet approach, the income statement approach, and the aging of receivables. The latter is not allowed per the Generally Accepted Accounting Principles (GAAP).",Sales revenue should be recorded when earned rather than when received. Both credit and cash sales are recorded when made per the accrual basis of accounting. We should note that credit sales come with bad debt risks.,,,D
49,Town and Country Saddle learns the account receivable for a customer is uncollectible. The journal entry under the allowance method to write-off an account is to:,debit Bad Debts Expenses; credit Accounts Receivable.,debit Sales; credit Allowance for Doubtful Accounts.,debit Allowance for Doubtful Accounts; credit Accounts Receivable.,debit Allowance for Doubtful Accounts; credit Bad Debts Expenses.,C,"The correct answer is c. debit Allowance for Doubtful Accounts; credit Accounts Receivable.

Town and Country Saddle should write off its customer account under the allowance method by recording the following entry:

Date	Account Title	Debit	Credit
Allowance for Doubtful Accounts	$XX	
Accounts Receivable		$XX
The Allowance is used to account for the bad debt losses. The contra account decreases with a debit entry, and the customer account decreases with a credit entry.

Other options are incorrect for the following reasons:

Options	Reasoning
a. debit Bad Debts Expenses; credit Accounts Receivable.	This entry is useful in recording a write-off under the direct write-off.
b. debit Sales; credit Allowance for Doubtful Accounts.	Sales are never recorded when writing off an account.
d. debit Allowance Accounts; credit Bad Debts Expenses.	Bad Debts Expense account is credited only when reinstating the accounts under the direct method.","An account is written off when it is determined to be uncollectible. The write-off entry requires closing the customer account because it is no more receivable and reporting the losses for the period, as they incur when the customer defaults.",,,C
50,"Using the percentage-of-receivables basis, uncollectible accounts are estimated to be $39,100. If the balance for the Allowance for Doubtful Accounts is a $6,520 debit before adjustment, what is the amount of bad debt expense for the period?","$65,200","$45,620","$32,580","$39,100",B,"The correct option is b. $45,620.

Under the percentage-of-receivables basis, the balance of the Allowance for Doubtful Accounts account is adjusted to the estimated uncollectible receivables, which is $39,100. The Allowance for Doubtful Accounts account has a normal credit balance because it is a contra-asset account, so the journal entry must restore its current unadjusted debit balance to the desired credit balance. The amount is the entry is therefore:

Allowance for Doubtful Accounts        
Unadjusted balance        $6,520 debit
Desired ending balance        $39,100 credit
Journal entry to adjust balance        $45,620 credit
The journal entry to adjust the balance is recorded to the bad debt expense. It is, therefore:

Date        Description        Debit        Credit
Dec 31        Bad debt expense        $45,620        
Allowance for Doubtful Accounts                $45,620
To adjust the balance of the allowance account and record the bad debt expense                
","The percentage of receivables or balance sheet basis is one approach used to estimate the bad debt expense under the allowance method. Under this approach, the ending balance of the Allowance for Doubtful Accounts account is estimated based on the aging of Accounts Receivable.",,,B
