id,question,A,B,C,D,answer,explanation,hint,guess,reasoning,baseline_guess
216,Which of the following statements is CORRECT?,"Suppose you are managing a stock portfolio, and you have information that leads you to believe the stock market is likely to be very strong in the immediate future. That is, you are convinced that the market is about to rise sharply. You should sell your high-beta stocks and buy low-beta stocks in order to take advantage of the expected market move.","Suppose of two stocks A and B, where A has a beta of 1.23, while B has a beta of 0.67. The stocks each have the same standard deviation as the market. The returns on Stock B must have a lower correlation with returns on the market than on Stock A.","You think that investor sentiment is about to change, and investors are about to become more risk averse. This suggests that you should re-balance your portfolio to include more high-beta stocks.","If the market risk premium remains constant, but the risk-free rate declines, then the required returns on low-beta stocks will rise while those on high-beta stocks will decline.",A,"a. The answer is incorrect. If the market is to rise sharply, then the stocks with a high Beta will rise even more sharply than the market. Thus, you shouldn't sell them yet.
b. The answer is correct. A stock's Beta can be calculated by first dividing standard deviation of the stock by that of the market and multiplying the outcome by the correlation of the stock with the market. Now, since both stocks have the same standard deviation, stock B must have a lower correlation since it's value is smaller than that of stock A.
c. The answer is incorrect. Risk averse investors would prefer stocks with lower volatility/risk. However, high Beta stocks imply a higher volatility than the overall market.
d. The answer is incorrect. The required rate of return on a stock(RRR) in terms of risk free rate of return(Rf), market risk premium(MRP) and the Beta, is given by the following formula;
{eq}RRR = Rf+Beta* MRP

{/eq}
Looking at the formula above, we can easily see that if the Rf declines and MRP remains constant, then the stocks with a higher Beta will produce a higher RRR than the stock with a lower Beta.","Beta of a Stock ""Beta"" basically measures a stock's volatility in comparison to the overall market volatility. For example, a stock with a Beta of 1 has the same volatility as the market. On the other hand, a stock with a Beta of greater than 1 will have a higher volatility than the market; meaning it will go up more than the market if the market goes up, and go down more than the market if the market goes down. In the case of Beta of less than 1, the situation is just the opposite.",,,B
217,Which one following will lower required rates of return?,Higher rates of inflation.,Lower rates of inflation.,Higher risk premiums.,Lower dividend yields.,A,"Option B, Lower Inflation Rate
is correct.
With a lower or decreased inflation rate, an investor's risk return also decreases. Returns are composed of real returns and inflation. Let's say an investor wants 10% returns from an instrument bifurcated into 4% as an inflation return and 6% as a real return. In this case, assume that the inflation rate has dropped to 3%. In this case, the investor will now get 9% as an expected return, as real returns are usually constant in normal conditions.
Option A: As the inflation rate rises, the RRR also rises because the investor must now earn more to compensate for the increased inflation. Hence, option a is wrong.
Option C: Higher risk premium attributed to the higher riskiness of an instrument. To cater to higher risk, an investor will seek higher returns, leading to a surge in RRR. Hence, option c is wrong.
Option D: Lower dividend yield indicates that the dividend paid is significantly lower in comparison to the market price. Thus, the investors want a higher RRR to compensate for the risk. Hence, option d is wrong.","Required Rate of Return: The Required Rate of Return (RRR)  is the minimum return an investor wants to achieve or requires against the instrument's risks. Different financial instruments have different risk and return profiles, and it is based on these profiles that potential investors invest.",,,B
218,Which one of the following lists presents the order of financing from most preferred to least preferred according to the pecking-order theory?,"Debt issue, stock issue, internally generated funds","Internally generated funds, debt issue, stock issue","Stock issue, internally generated funds, debt issue","Internally generated funds, stock issue, debt issue",B,"The correct answer is option
B. Internally generated funds, debt issue, stock issue.
Under pecking-order theory, companies must finance their business operation using the following funding sources.
Priority 1 = Intenal Financing
Priority 2 = Debt
Priority 3 = Equity Financing
So, the correct answer is option
B. Internally generated funds, debt issue, stock issue.","Capital Structure: In corporate finance, knowing the capital structure present in the business is significant. Through this, an investor can assist if he/she will pursue his/her investments.",,,B
309,"Dorpac Corporation has a dividend yield of 1.4%. Dorpac's equity cost of capital is 8.3%, and its dividends are expected to grow at a constant rate.",What is the expected growth rate of Dorpac's dividends?,What is the expected growth rate of Dorpac's share price?,,,A,"The growth rate of share price is known as the capital gains yield and it is equal to the growth rate of dividends on the share.
The sum of dividend yield (DY) and the capital gains yield is equal to the cost of capital of equity (ke).
Let the growth rate be g.
a. The expected growth rate of dividends will be calculated as follows:
{eq}\begin{array}{l}

g = ke - DY\\

g = 8.3\%  - 1.4\% \\

g = 6.9\%

\end{array}

{/eq}
Thus, the growth rate of dividends is equal to 6.9%.
b. The growth rate of share price i.e., Capital gains yield is equal to the growth rate of dividends.
Thus, the growth rate of share price is 6.9%.",Dividend Yield: Dividend yield refers to the amount earned through returns on a stock in the form of dividends. This rate is calculated in the form of a percentage by dividing the next dividend to be received by the current share price of the stock.,,,A
310,"The company cost of capital for a firm with a 75/25 debt/equity split, 7% cost of debt, 15% cost of equity, and a 30% tax rate would be:",7.43%.,8.63%.,9.00%.,13.80%,A,"Option (A) is correct
Calculation of the cost of capital:
{eq}\begin{align*}

{\rm\text{Cost of Capital}} &= Ke \times We + Kd\left( {1 - {\rm\text{Tax Rate}}} \right) \times We\\

&= 15\%  \times 25\%  + 7\% \left( {1 - 0.30} \right) \times 75\% \\

&= 7.43\%

\end{align*}

{/eq}","Debt-to-Equity Ratio: The debt-to-equity ratio is used to ascertain the contribution of debt or equity in the total capital of the company. A high amount of debt provides high leverage. But sometimes, it increases the obligation to pay the debt.",,,B
311,The firm's cost of retained earnings is the rate of return stockholders require on a firm's common stock.,True,False,,,B,"The above statement is false as the Retained earnings are whatever is left with the business after making all payments; it is the final rate of return that the stockholders earn from business operations. Therefore, we can say that it is a part of the cost of equity.","Cost of equity: It is the rate of return that the company's shareholders expect to receive on its investment in equity shares of the company. In other words, it is the compensation that it receives in return for their investment in the company.",,,A
341,A firm's stock is selling for $85. The dividend yield is 5%. A 7% growth rate is expected for the common stock. The firm's tax rate is 32%. What is the firm's cost of common equity?,12.00%,12.35%,can not be determined,,A,"Correct Answer: Option A) 12.00%.
Explanation:
Cost of equity = Dividend yield + Growth rate
Cost of equity = 5% + 7%
Cost of equity = 12%",Cost of Equity: The cost of equity is the required return that investors expect from the investment in the shares of a company. It can be determined using the dividend growth model and the capital asset pricing model.,,,A
342,"New buyers of Simmonds Inc. stock expect a return of about {eq}22\%

{/eq}. The firm pays flotation costs of {eq}9\%

{/eq} when it issues new securities. What is Simmonds' cost of equity?",From retained earnings?,From new stock?,,,A,"Answer (a)
Given that the buyers of Simmonds Inc. stock expect a return of 22%.
So, the cost of retained earnings for Simmonds Inc. would be
22%
Answer (b)
If Simmonds Inc. issues new stock, then it would have to pay floatation costs of 9%.
This would increase the cost of new equity.
{eq}\text{Cost of new equity} = \text{Expected rate of return} * (1 + \text{Flotation cost})

{/eq}
{eq}\text{Cost of new equity} = 0.22 * (1 + 0.09)

{/eq}
{eq}\text{Cost of new equity} = 0.22 * (1.09)

{/eq}
{eq}\text{Cost of new equity} = 0.2398

{/eq}
{eq}\text{Cost of new equity} = 23.98\%

{/eq}",Cost Of Capital: The cost of capital is the cost of the company's funds. We generally represent the cost of capital as a percentage. The companies that involve high risks have a higher cost of capital.,,,B
343,Which of the following are not considered a part of the firm's capital structure?,Long-term debt,Retained earnings,Inventory,Preferred stock,C,"The correct answer is
c. Inventory
.
The capital structure of a business organization defines the proportionate use of various securities to finance the business assets to operate the business activity; it includes long term debts, various forms of stocks such as common stock, preferred stock, and so on. But it does not include the inventory as it is part of the assets of the company.",Capital: The capital of a corporation is described as the monetary value of its resources that it has available to satisfy its everyday operations and support the future expansion and growth of the corporation.,,,C
344,Which of the following best describes a firm's cost of capital?,The average yield to maturity on debt,The average cost of the firm's assets,The rate of return that must be earned on its investments in order to satisfy the firm's investors,The coupon rate on preferred stock,B,"The answer is
b. The average cost of the firm's assets
The firm's capital will be raised and reinvested in the firm's assets. Hence, the firm's cost of capital is also the average cost of the firm's assets.",Cost Of Capital: A manager will need to determine the firm's cost of capital before a project's assessment. A change in the cost of capital will affect the assessed value of the project.,,,C
379,The investor's required rate of return differs from the firm's cost of capital due to the:,firm's beta.,tax deductibility of interest.,CAPM.,time value of money.,B,"Correct answer is Option b.
It is the expectations of the investor for return that makes up the cost of capital for the firm. However, the two differ when there is an involvement of debt. The interest payable on debt is the cost of using debt as the source of financing.
Depending upon the riskiness of the investment and credit worthiness of the firm, the investor requires a minimum interest on debt.
However, interest on debt is deducted from the Net operating income before assessing the taxable amount. Thus, the cost of debt is lower for the firm as compared to the rate of interest paid to the investor.
Explanation for incorrect answers:
a: It is incorrect because the beta coefficient of the firm reflects the sensitivity of its returns with respect to the market rate of return. Since, it reflects the systematic risk on investment, the investor incorporates this element of risk into his required rate of return and chooses an investment which can compensate it for this risk.
c: It is incorrect because CAPM reflects the expected return based upon the risk-free rate of interest and market risk premium for the investor and that is included in cost of capital for the firm as well.
d: It is incorrect because time value of money calculates the absolute amount rather than relative percentages and the difference in cost of capital to the firm and the return to investor occurs in relative terms only.","Cost of Capital: The cost of capital refers to the compensation that a firm pays to its investors for the use of their funds. Depending upon various factors, like risk of the investment, market rate of return, etc., the investor have some expectations for return and that becomes the cost to the firm.",,,A
380,The weights used to determine the relative importance of the firm's sources of capital should reflect:,book values in accord with generally accepted accounting principles.,"current market values for bonds, stock, and preferred stock and book values for retained earnings.",current market values.,subjective adjustments for firm risk.,C,"The answer is
c. current market values
To calculate the weighted average cost of capital, the weight of each capital component should be estimated according to the market value of each capital component. The use of market value will reflect the true value of the stocks, preferred stocks and bonds in the market.","Cost Of Capital: The firm's cost of capital represents the average cost of all sources of capital. It is also the required rate of return on the firm's assets. In practice, an increase in the cost of capital will decrease the value of a project.",,,C
