id,question,A,B,C,D,answer,explanation,hint,guess,reasoning
246,"On January 1, Hanley Corporation issued $2,300,000, 10-year, 9% bonds at 101. The journal entry to record this transaction would include a:","debit to Discount on Bonds Payable $23,000.","credit to Bonds Payable $2,323,000.","debit to Cash $2,300,000","credit to Premium on Bonds Payable $23,000.",D,"The correct option is
option D. credit to Premium on Bonds Payable
.
The required journal entry would be as follows:
Date
Accounts and Explanation
Debit ($)
Credit ($)
Jan. 1
Cash (2,300,000+23,000)
2,323,000
Bonds Payable
2,300,000
Premium on Bonds (working note)
23,000
(to record the issuance of bonds on premium)
Cash is received with the issuance of bonds; thus, cash is debited. The bond payable is a liability account, and it is credited when increased. Premium is a contra account, and it is credited when increased.
It is assumed that the face value was $100.
The premium on the bond can be calculated as follows:
{eq}\begin{aligned} \text{Premium}\ \text{on}\ \text{bonds} &=\text{Face}\ \text{value}\ \text{of}\ \text{bonds}\times \frac{\left( \text{Issue}\ \text{price}-\text{Face}\ \text{value} \right)}{\text{Face}\ \text{value}} \\ &=\$2,300,000\times \frac{\left( \$101-\$100 \right)}{\$100} \\ &=\$2,300,000\times \frac{1}{\$100} \\ &=\$23,000 \end{aligned} {/eq}
Explanations for incorrect options:
A. debit to Discount on Bonds Payable $23,000. This is incorrect because this transaction does not involve a discount.
B. credit to Bonds Payable $2,323,000. This is incorrect because the amount is incorrect.
C. debit to Cash $2,300,000. This is incorrect because the amount is incorrect.",Bonds Payable: Bonds payable are a liability for the issuing organization. Bonds can be issued at a premium or discount. Bond holders receive regular returns in terms of periodic interest payments.,D,
247,"On January 1, Zee Products sells bonds at a face value of $250,000. The interest rate is 6%, payable semi-annually. What is the amount of interest expense on July 1?","$15,000","$7,500","$3,750",$0,B,"The correct option is
(b.) $7,500
The interest is paid semi-annually, it means that interest will be paid every six months.
The interest expense can be computed by the following formula -
{eq}\begin{align} \text{Interest Expense} &= \text{Bond Amount} \times \text{Interest Rate} \times \dfrac{\text{Number of months}}{12}\\ &= \$250,000 \times 6\% \times \dfrac{6}{12}\\ &= \$250,000 \times 3\%\\ &= \$7,500\\ \end{align} {/eq}",Bonds: Bonds are financial instruments issued by companies to raise funds. Bonds are less riskier than equity as they involve periodic payment of interest and sometimes also have underlying security.,B,
248,"On January 1st, JK Company issued $400,000, 5-year, 4% bonds. The market rate at the time of the sale was greater than 4% so the bonds were sold at 93. Interest is payable on June 30th and December 31st.","Credit to Cash for $10,800.","Debit to Interest Expense for 8,000.","Debit to Interest Expense for $10,800.","Debit to Discount on Bonds Payable for $2,800.",C,"The correct option is
C. Debit to Interest Expense for $10,800
The par value of the bonds is $400,000, the bonds were sold at $93
The cash received against the sale of bonds will be {eq}\dfrac{\$400,000}{100} \times \$93 = \$372,000 {/eq}
The difference between the par value of bonds and cash received against the sale will be debited to the discount on Bonds Payable.
Discount of Bonds Payable = $400,000 - $372,000 = $28,000
As the company will use the straight-line method to amortize discounts on the bonds. The bond's tenure is 5 years and interest will be paid semi-annually. So, the discount on bonds will be amortized in 5 X 2 = 10 installments.
So, on the first interest payment, the amortization of the discount on bonds will be $28,000 / 10 = $2,800
The interest payment will be $400,000 X 4% X (1/2) = $8,000
The interest expenses debited will be the sum of the actual interest payment and the amortization of the discount on bonds. = $10,800
The journal entry will be -
Date
Account
Debit
Credit
Interest Expense --- Dr.
$10,800 ($8,000 + $2,800)
Discount on Bonds Payable --- Cr.
$2,800
Cash --- Cr.
$10,800",Bonds Payable: Bonds are financial instruments that companies sell to raise funds and they have a stated rate of interest and par value. They appear on the balance sheet as Bonds Payable.,C,
249,"Renfro Company issued $300,000 of 8%, 10-year bonds at 92. Interest is paid annually, and the straight-line method is used for amortization. The bonds are issued on the date of the bonds.",What amount of cash was received for the bonds at issuance?,How much interest is paid each interest period?,What is the discount amortization for each interest period?,How much interest expense is recorded for each interest date?,A,"a. Cash received at issuance
When bonds are issued at 92 it means that the issue price is 92% of the face value of the bonds:
Face value of the bonds
$300,000
Bonds issued at
92
Cash received at issuance
= $300,000 × 0.92
$276,000
b. Interest paid
The cash interest payment is calculated using the face value of the bonds and the coupon or stated interest rate:
Face value of the bonds
$300,000
Coupon interest rate
8%
Interest paid
Annually
Interest paid each interest period
= $300,000 × 0.08
$24,000
c. Discount amortization for each interest period
Under the straight-line method, the same amount of discount is amortized for each interest period, so we must divide the total discount by the number of interest periods to find the answer:
Discount on issuance = $300,000 - $276,000
$24,000
Number of interest periods
10
Discount amortization for each interest period
$2,400
d. Interest expense on each interest date
Recall that the amortization of a bond discount increases the interest expense:
Cash interest paid
$24,000
Amortization of discount
2,400
Interest expense for each interest date
$26,400","Cash Received on Bond Issue: The cash that a company receives from issuing bonds depends on the face value of the bonds, but it is usually not equal to their face value because a difference between the market and coupon interest rate affects the issue price of bonds.",A,
250,Secured bonds are bonds that:,are in the possession of a bank.,are registered in the name of the owner.,have specific assets of the issuer pledged as collateral.,have detachable interest coupons.,C,"The correct answer is
c. have specific assets of the issuer pledged as collateral
.
Secured bonds are debt instruments that have specified assets as collateral. In the event of default, the borrower has a claim on the pledged assets, which can be used to repay bondholders. Thus, these bonds have a minimal credit risk. Secured bonds usually have lower interest rates. Therefore, secured bonds are less risky than unsecured bonds.
The other options are incorrect.
Option a.
are in the possession of a bank:
This is incorrect because possession does not determine whether a bond is secured or unsecured.
Option b.
are registered in the name of the owner
: This is incorrect because the registration of a bond is a feature of the bond and does not determine whether the bond is secured or unsecured.
Option d.
have detachable interest coupons
: This is incorrect because the detachable interest coupons are features of a bond and do not determine whether the bond is secured or unsecured.","Bonds: The bond is a financial instrument that represents the loan made by the investor in exchange for interest rate and principal amount at maturity. Bonds can be issued at par, premium, or discount to investors.",C,
251,Shares of stock reacquired by the issuing company are called:,Par value stock.,Stock subscription.,Treasury stock.,no-par value stock.,C,"The correct answer is
c. Treasury stock.
Treasury stocks are contra-equity accounts that indicate the shares reacquired by the company. They can be resold by the companies later or written off from the books. They are usually purchased to avoid hostile takeovers.
Explanation for incorrect answers
Par value stocks have a par value below which the shares cannot be sold.
Stock subscription refers to subscribing to shares on public offers.
The no-par value stocks do not have any par value and their price is decided by the demand in the market.",Stocks: Stocks are financial instruments that can be traded freely on stock markets. Stocks indicate ownership of companies. Stocks are generally more risky than bonds.,C,
252,"The Fuller Company issued a $500,000, 5-year, 6% bond at par. It is a semiannual bond with interest paid on June 30th and December 31st. The entry to record the sale of the bond would include a:","$500,000 credit to Cash.","$500,000 credit to Bonds Payable.","$30,000 debit to Interest Expense.","$500,000 debit to Accounts Payable.",B,"The correct answer is
B. $500,000 credit to Bonds Payable
.
The Fuller Company's bonds are issued at par value, and the bond issuance at par can be recorded using the following accounts:
Date
Account Title
Debit
Credit
Jan 1.
Cash
$500,000
Bonds Payable
$500,000
Cash represents the proceeds from bond issuance through the creation of a liability.
Other options:
Options
Analysis
A. $500,000 credit to Cash.
Cash is coming into the business and will be debited.
C. $30,000 debit to Interest Expense.
Interest expense is not recorded at the time of issuance.
D. $500,000 debit to Accounts Payable.
Accounts payable are not used when recording bond issuance.",Bonds: Bonds are risk-free because they offer fixed returns in the form of interest and repay the par value of the bonds at maturity. Bonds are long-term liabilities of a company that helps build assets.,B,
253,"The Fuller Company issued a $500,000, 5-year, 6% bond at par. It is a semiannual bond with interest paid on June 30th and December 31st. The entry to record the semiannual interest payment is:","Dr. Interest Expense, $15,000; Cr. Cash, $15,000.","Dr. Interest Expense, $30,000; Cr. Cash, $30,000.","Dr. Interest Expense, $30,000; Cr. Interest Payable, $30,000.","Dr. Interest Expense, $15,000; Cr. Interest Payable, $15,000.",A,"The correct answer is
A. Dr. Interest Expense, $15,000; Cr. Cash, $15,000
.
The Fuller Company's entry to record the semiannual interest payment can be recorded as follows:
Date
Account Title
Debit
Credit
June 30th
Interest Expense
$15,000
Cash
$15,000
Working note for semiannual interest
:
Semiannual interest = Par value of bonds × Interest rate × {eq}\dfrac{6}{12} {/eq}
Semiannual interest = $500,000 × 6% × {eq}\dfrac{6}{12} {/eq}
Semiannual interest = $15,000
Other options are incorrect:
Options
Analysis
B. Dr. Interest Expense, $30,000; Cr. Cash, $30,000.
The semiannual interest equals $15,000, not $30,000.
C. Dr. Interest Expense, $30,000; Cr. Interest Payable, $30,000.
The semiannual interest equals $15,000, not $30,000.
D. Dr. Interest Expense, $15,000; Cr. Interest Payable, $15,000.
Interest payable account is used when interest incurs and is not paid, not when it's paid.","Bond Interest: Interest on bonds differs depending on whether bonds are issued at par, at a premium, or at a discount. In addition, unlike dividends, the company pays interest to the bondholders, which is tax-deductible.",A,
254,The issuance of bonds by a corporation is,an example of debt financing.,,,,A,"The correct answer is
A. an example of debt financing
.
Bonds are debt securities, and by selling bonds, a corporation is actually raising debt capital. Too much debt is unsuitable for a company as the risk of bankruptcy increases in the long run. The issuance of bonds is recorded as a cash inflow under the cash flow statement's financing activities.
Other options are incorrect:
Options
Analysis
B an example of equity financing.
Bonds are not a source of equity financing.
C None of the above.
As option A) is correct, this option is not valid.","Sources of Financing: A corporation needs capital for projects impacting sales growth and profits. These external sources can be classified as short-term and long-term, depending on the borrowing period.",A,
255,The journal entry a company records for the issuance of bonds when the contract rate is greater than the market rate would be:,"debit Bonds Payable, credit Cash.","debit Cash, credit Bonds Payable.","debit Cash, credit Premium on Bonds Payable, and Bonds Payable.","debit Cash and Discount on Bonds Payable, credit Bonds Payable.",C,"The correct answer is
c. debit Cash, credit Premium on Bonds Payable, and Bonds Payable
.
The bonds will sell at a premium if the company's bond's contract rate exceeds the market rate. The bonds sold at a premium are recorded as follows:
Date
Account Title
Debit
Credit
Cash (Proceeds)
$XX
Bonds Payable (Par)
$XX
Premium on Bonds Payable
$XX
The bond premium reflects in the premium on the bonds payable account, which is subject to amortization.",Bonds: Debt instruments are issued to raise capital and invest in the current level of operations to improve them. Bonds can be sold at any value and not just at par value. Bonds need to be redeemed at maturity.,C,
256,The premium on bonds payable account would be classified as a(n):,Current liability.,Contra-liability.,Adjunct-liability.,Contra-asset.,C,"The correct answer is
c. Adjunct-liability.
The following table explores each answer option and explains the right and wrong answers with reasons.
a. Current liability.
Currrent liabilities are short-term liabilities and bonds payable are long-term liabilities. The related premium on the bonds is therefore also accounted for in a long-term liability account.
b. Contra-liability.
Discount on bonds payable is a contra-liability account because it decreases the carrying amount of bonds payable on the balance sheet.
c. Adjunct-liability.
This is the correct alternative because the premium on bonds payable increases the carrying amount of bonds payable on the balance sheet
.
d. Contra-asset.
Contra-asset accounts are accounts like accumulated depreciation that decreases the carrying amount of an asset in the balance sheet.",Premium on Bonds Payable: A premium on bonds payable is recorded when the issue price of bonds is higher than their maturity value. The premium is recorded in the general ledger and then amortized to the interest expense over the term of the bonds.,C,
257,The premium on bonds payable is added to _____ report of the bond's carrying value.,Cash account,Bonds payable account,Interest expense account,Cash account and bonds payable account,B,"The correct option is b. Bonds payable account.
The table explores each answer option and explains the right and wrong answers with reasons:
a. Cash account
The premium affects the cash account when the bonds are issued, but the unamortized premium is not added to cash to calculate the carrying value of bonds.
b. Bonds payable account
This is the correct alternative because the unamortized premium on bonds payable increases the carrying amount of the bonds payable liability.
c. Interest expense account
The premium is amortized over time to the interest expense but is unamortized balance is not added to the interest expense in the income statement.
d. Cash account and bonds payable account
No, the premium does not affect the carrying amount of the cash asset.",Carrying Amount of Bonds Payable: Bonds payable is usually presented as a long-term liability unless their maturity date is within 12 months. Bonds are carried at their issue price plus or minus the accumulated amortization of discounts or premiums on the issue.,B,
258,The rate of interest specified on the bond is referred to as the:,Debenture rate.,Market rate.,Par rate.,Stated rate.,D,"The correct option is
d. Stated rate.
The stated interest rate on the bonds is the specified interest rate of the bonds by which the interest will be calculated on the par value of the bonds. The stated interest rate is shown with the bonds payable on the balance sheet.
Explanation for incorrect options
a. Debenture rate - The stated interest rate of debentures is referred to as the debenture rate.
b. Market rate - The market interest rate is the prevailing interest rate in the market, it is used to affect the sale price of the bond.
c. Par rate - The par rate is the cost of interest without any other adjustments.","Bonds: Bonds are financial instruments that companies use to raise funds as debts from the general public. As bonds involve regular interest payments, they are considered less risky than equity.",D,
259,True or False: Discount on bonds is an additional cost of borrowing and should be recorded as interest expense over the life of the bonds.,True,False,,,A,"The statement is true.
Bonds are issued at a discount when the market interest rate is higher than the coupon rate of the bonds. This implies that investors paid less for the bonds in order to increase their yields, and this difference is therefore additional interest that the company must expense over the life of the bonds. The discount can be amortized using the straight-line of effective interest methods.",Discount on Bonds Payable: Discount on bonds payable is a contra-liability that is recorded when the issue price of bonds is lower than their face value. This amount must then be amortized to the bond interest expense over the bond's term.,A,
260,"When bonds are issued at a discount, how is the discount amount treated by the issuing company?",It is amortized over the life of the bond.,It is recorded as a loss on issuance.,The recording of the discount decreases interest expense.,It is collected at the time of maturity.,A,"The correct option is
a. It is amortized over the life of the bond.
Bonds are issued at a discount when the stated interest rate is lower than the market rate of interest as in such a case the present value of the interest payments and redemption amount is less than the face value of the bond.
The discount is credited at the time of issuance and is amortized over the life of the bond.
Explanation for incorrect options
The discount on bonds payable is not recorded as a loss on issuance rather it is amortized over the life of the bond; hence option (b) is incorrect.
The amortization of the discount increases the interest expense; hence option (c) is incorrect.
The discount on the bonds payable is not collected at the time of maturity; hence option (d) is incorrect.",Bonds: The issue price of the bonds depends on the stated interest rate and the market interest rate. As the theoretical value of the bond is equal to the present value of interest payments and the redemption value.,A,
261,"When bonds are issued at a discount, the carrying value of the bond is:",The face value less discount on bonds payable.,The face value plus a discount on bonds payable.,The face value.,None of these choices are correct.,A,"The correct option is
a. The face value less discount on bonds payable.
The bonds are issued at a discount when the market interest rate is higher than the stated interest rate. Due to this the bond issue price is lower than the face value of the bonds and bonds are issued at a discount. Bonds payable have a credit balance and discount on the bonds payable have a debit balance; hence the carrying value of bonds is the face value less discount.
Explanation for incorrect options
When bonds are issued at a premium, then the carrying value of the bonds is the face value plus the premium on the bonds payable; hence option (b) is incorrect.
The carrying value of bonds payable is the face value when the bonds are issued at par; hence option (c) is incorrect.",Bonds: Bonds are financial instruments that are issued by companies in order to raise funds for business. The bonds payable are liability accounts with a credit balance.,A,
262,When bonds are issued at a premium:,The market rate of interest is higher than the stated rate.,The market rate and the stated rate of interest are the same.,The stated rate of interest exceeds the market rate.,None of these choices are correct.,C,"The correct option is
c. The stated rate of interest exceeds the market rate.
The issue price of bonds depends on the stated rate of interest and the market interest rate. If the stated interest rate is higher than the market rate of interest, then the bonds are issued at a premium because in such case the present value of interest payments and redemption value at the market interest rate will be higher than the face value of the bond.
Explanation of incorrect options
a. If the market rate of interest is higher than the stated rate, then the bonds will be issued at a discount; hence option (a) is incorrect.
b. If the market rate and the stated rate of interest are the same, then the bonds will be issued at par; hence option (b) is incorrect.",Bonds: Bonds are financial securities that have a face value and a stated interest rate. The bonds payable account has a credit balance and appears on the liability side of the balance sheet.,C,
633,"When the Treasury bond market becomes more liquid, other things equal, the demand curve for corporate bonds shifts to the _____ and the demand curve for Treasury bonds shifts to the _____.",right; right,right; left,left; right,left; left,C,"The correct answer is option C.
left; right
.
When the Treasury bond market becomes more liquid, it becomes easier for investors to buy and sell Treasury bonds, causing an increase in demand. As a result, the demand curve for Treasury bonds moves rightward.
On the other hand, the increased liquidity in the Treasury bond market means that investors do not need corporate bonds as a substitute investment. As a result, there is less demand for corporate bonds, which leads to a leftward shift.
Reasons for incorrect options:
A
: The increased liquidity in the Treasury bond market would not cause an increase in demand for corporate bonds. Instead, it would cause a decrease in demand for corporate bonds.
B
: The increased liquidity in the Treasury bond market would lead to a rise in the purchase of Treasury bonds, causing a rightward change in the demand curve, not the left.
D
: The increased liquidity in the Treasury bond market would not cause a decrease in demand for Treasury bonds. Instead, it would cause an increase in demand for Treasury bonds.","Demand Curve for Bonds: The demand curve for bonds is a graphical representation of the correlation between the value of a bond and the number of bonds that investors are willing and able to buy, keeping all other elements stable.",D,
